machine_name,operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16,status,cycle
46,-0.0007,-0.0005,1427.08,21.6,2388.52,48.34,2388.53,8196.55,100.0,0.03,False,204
47,0.0022,0.0003,1431.39,21.61,2388.17,48.1,2388.24,8210.38,100.0,0.03,False,269
48,-0.0007,-0.0003,1432.89,21.61,2388.2,48.07,2388.16,8240.38,100.0,0.03,True,174
49,-0.0011,-0.0004,1427.68,21.6,2388.52,48.2,2388.55,8190.94,100.0,0.03,False,256
50,-0.0024,-0.0,1439.12,21.61,2388.33,48.21,2388.33,8120.68,100.0,0.03,True,161
51,0.002,-0.0,1435.1,21.61,2388.14,48.12,2388.18,8227.91,100.0,0.03,True,190
52,0.0002,-0.0003,1432.87,21.61,2388.22,48.01,2388.18,8183.92,100.0,0.03,False,222
53,0.0007,-0.0003,1435.04,21.61,2388.3,48.27,2388.38,8105.02,100.0,0.03,True,164
54,-0.0017,0.0004,1430.02,21.61,2388.2,48.19,2388.19,8216.48,100.0,0.03,True,194
55,-0.0016,0.0001,1424.15,21.57,2388.56,48.2,2388.6,8192.24,100.0,0.03,False,525
56,0.0035,0.0004,1430.39,21.61,2388.31,48.28,2388.31,8113.4,100.0,0.03,True,195
57,0.0023,-0.0002,1422.42,21.61,2388.56,48.23,2388.57,8190.03,100.0,0.03,False,215
58,0.001,0.0001,1427.96,21.61,2388.35,48.32,2388.32,8122.2,100.0,0.03,True,178
59,-0.0,0.0002,1423.7,21.61,2388.55,48.11,2388.58,8189.16,100.0,0.03,False,299
60,-0.0008,0.0001,1424.4,21.59,2388.48,48.07,2388.52,8193.06,100.0,0.03,True,190
61,0.0038,0.0001,1424.45,21.61,2388.19,48.05,2388.15,8209.56,100.0,0.03,True,199
62,-0.0023,-0.0001,1419.32,21.59,2388.5,48.22,2388.56,8192.7,100.0,0.03,False,246
63,0.0029,0.0004,1434.44,21.61,2388.29,48.04,2388.3,8139.6,100.0,0.03,False,231
64,-0.0009,0.0005,1433.73,21.61,2388.2,48.12,2388.18,8272.42,100.0,0.03,True,195
65,0.0023,-0.0001,1441.16,21.61,2388.33,48.14,2388.27,8116.53,100.0,0.03,False,234
66,-0.0036,-0.0004,1431.15,21.61,2388.17,48.16,2388.22,8160.71,100.0,0.03,True,165
67,-0.0017,0.0,1426.53,21.61,2388.26,48.25,2388.26,8126.18,100.0,0.03,False,263
68,-0.0016,0.0004,1430.89,21.61,2388.52,47.98,2388.56,8290.55,100.0,0.03,False,201
69,0.0002,-0.0001,1428.49,21.61,2388.28,48.28,2388.29,8126.31,100.0,0.03,True,170
70,-0.0008,-0.0003,1431.45,21.61,2388.27,48.23,2388.24,8146.31,100.0,0.03,True,172
71,0.0011,0.0,1427.3,21.56,2388.56,48.09,2388.5,8194.48,100.0,0.03,False,409
72,0.0008,-0.0,1431.27,21.58,2388.5,48.13,2388.52,8190.87,100.0,0.03,False,232
73,0.0004,-0.0001,1428.99,21.59,2388.52,48.17,2388.53,8195.0,100.0,0.03,False,215
74,0.0009,-0.0003,1428.73,21.61,2388.18,48.25,2388.19,8195.19,100.0,0.03,True,193
75,-0.004,0.0002,1431.06,21.58,2388.47,48.25,2388.52,8191.54,100.0,0.03,False,259
76,0.0041,0.0003,1430.18,21.61,2388.36,48.29,2388.37,8100.35,100.0,0.03,True,153
77,-0.0015,-0.0003,1424.58,21.6,2388.49,48.17,2388.53,8198.34,100.0,0.03,False,255
78,-0.0002,-0.0002,1436.1,21.61,2388.29,48.3,2388.21,8155.17,100.0,0.03,False,221
79,0.0011,0.0003,1426.1,21.61,2388.3,48.15,2388.31,8124.7,100.0,0.03,True,166
80,-0.0028,0.0002,1424.72,21.61,2388.33,48.11,2388.31,8116.41,100.0,0.03,True,147
81,-0.0016,-0.0005,1423.58,21.58,2388.55,48.23,2388.55,8196.1,100.0,0.03,False,347
82,-0.0008,-0.0004,1432.22,21.59,2388.54,48.09,2388.52,8193.7,100.0,0.03,False,285
83,0.0003,0.0002,1433.78,21.61,2388.25,48.14,2388.24,8169.79,100.0,0.03,True,181
84,0.0006,0.0001,1430.34,21.58,2388.54,48.24,2388.56,8192.64,100.0,0.03,False,226
85,-0.0052,-0.0003,1431.62,21.61,2388.56,48.07,2388.59,8186.89,100.0,0.03,False,266
86,-0.0002,-0.0005,1426.71,21.61,2388.2,48.13,2388.2,8212.19,100.0,0.03,False,341
87,-0.0005,0.0004,1434.13,21.61,2388.15,48.1,2388.18,8208.27,100.0,0.03,True,172
88,0.0006,0.0003,1423.59,21.57,2388.52,48.14,2388.45,8192.66,100.0,0.03,False,322
89,0.0002,0.0003,1417.81,21.59,2388.54,48.12,2388.53,8195.39,100.0,0.03,False,207
90,-0.0001,0.0001,1424.45,21.61,2388.23,48.14,2388.27,8146.87,100.0,0.03,True,181
91,0.0077,-0.0003,1428.1,21.61,2388.27,48.19,2388.29,8130.41,100.0,0.03,True,156
92,-0.0009,0.0004,1428.86,21.61,2388.32,48.16,2388.37,8120.71,100.0,0.03,True,158
93,0.0013,-0.0002,1433.34,21.61,2388.26,48.23,2388.3,8115.32,100.0,0.03,True,171
94,-0.0029,0.0,1422.35,21.61,2388.58,48.13,2388.55,8194.24,100.0,0.03,False,392
95,0.0007,-0.0004,1429.75,21.61,2388.15,48.29,2388.15,8199.01,100.0,0.03,True,166
96,-0.0034,-0.0001,1427.42,21.58,2388.51,48.27,2388.49,8191.36,100.0,0.03,False,491
97,0.0001,0.0001,1422.49,21.6,2388.52,48.01,2388.53,8190.97,100.0,0.03,False,275
98,0.0023,0.0001,1425.69,21.58,2388.52,48.09,2388.51,8191.37,100.0,0.03,False,307
99,-0.0013,0.0002,1417.99,21.61,2388.29,48.25,2388.26,8138.32,100.0,0.03,True,145
100,0.0,0.0003,1436.06,21.61,2388.26,48.12,2388.24,8136.98,100.0,0.03,True,152
