machine_name,operational_setting_1,operational_setting_2,sensor_measurement_04,sensor_measurement_06,sensor_measurement_08,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,operational_setting_3,sensor_measurement_16,status,cycle
39,42.0043,0.84,1138.58,5.72,2211.62,42.84,2387.73,8073.27,100.0,0.02,False,214
40,42.0054,0.8418,1141.34,5.72,2211.99,42.62,2388.07,8100.76,100.0,0.02,True,193
41,34.9999,0.8411,1152.5,8.0,2223.3,42.71,2388.46,8088.07,100.0,0.02,False,262
42,42.0024,0.84,1141.21,5.72,2211.77,42.84,2387.85,8083.91,100.0,0.02,False,221
43,42.0012,0.8411,1140.84,5.72,2213.8,42.51,2390.05,8199.27,100.0,0.02,False,211
44,25.0004,0.6203,1069.3,9.03,1915.82,37.36,2028.75,7900.94,60.0,0.02,False,205
45,35.0048,0.8404,1143.26,8.0,2222.44,42.69,2387.49,8043.82,100.0,0.02,True,151
46,42.002,0.8402,1145.4,5.72,2213.04,42.62,2389.13,8145.66,100.0,0.02,False,201
47,42.0057,0.8411,1142.75,5.72,2213.49,42.66,2389.72,8186.65,100.0,0.02,False,246
48,42.0079,0.8413,1146.17,5.72,2213.69,42.63,2389.86,8185.3,100.0,0.02,False,239
49,10.0002,0.25,1331.58,15.5,2319.19,46.13,2388.38,8146.92,100.0,0.03,True,168
50,42.0014,0.8415,1151.31,5.72,2211.6,42.64,2387.59,8071.33,100.0,0.02,False,222
51,42.0075,0.84,1152.8,5.72,2212.05,42.61,2388.16,8102.47,100.0,0.02,False,293
52,42.0012,0.84,1147.81,5.72,2213.38,42.73,2389.59,8166.98,100.0,0.02,True,174
53,0.0011,0.0,1433.63,21.61,2388.27,48.27,2388.23,8129.78,100.0,0.03,True,148
54,42.0059,0.84,1136.58,5.72,2211.85,42.87,2387.85,8086.03,100.0,0.02,True,199
55,25.0068,0.6219,1060.7,9.03,1915.88,37.35,2028.82,7902.26,60.0,0.02,True,159
56,10.006,0.2501,1331.59,15.5,2319.22,46.2,2388.44,8124.12,100.0,0.03,True,163
57,10.0077,0.2508,1334.57,15.5,2319.18,46.16,2388.41,8134.36,100.0,0.03,True,140
58,42.0034,0.84,1139.1,5.71,2211.48,42.84,2387.45,8064.97,100.0,0.02,True,162
59,41.9985,0.8414,1144.78,5.72,2212.93,42.48,2389.06,8144.53,100.0,0.02,True,194
60,20.0031,0.7003,1274.53,13.66,2324.08,45.01,2388.15,8033.56,100.0,0.03,True,177
61,42.0024,0.8418,1144.93,5.72,2214.05,42.75,2390.32,8215.47,100.0,0.02,False,218
62,42.0003,0.8413,1144.0,5.72,2212.28,42.97,2388.36,8107.63,100.0,0.02,True,184
63,25.0059,0.62,1065.0,9.03,1915.04,37.4,2028.01,7866.59,60.0,0.02,True,168
64,0.0017,0.0,1431.49,21.61,2388.3,48.24,2388.27,8116.34,100.0,0.03,False,282
65,42.0021,0.8407,1144.94,5.72,2212.86,42.84,2388.95,8138.17,100.0,0.02,False,206
66,42.0078,0.84,1148.58,5.72,2211.65,42.72,2387.76,8081.13,100.0,0.02,True,170
67,24.9991,0.62,1060.75,9.03,1914.77,37.53,2027.61,7857.58,60.0,0.02,True,145
68,42.0009,0.84,1152.27,5.72,2213.01,42.84,2389.13,8153.99,100.0,0.02,True,185
69,42.0053,0.84,1142.21,5.72,2211.49,42.72,2387.51,8076.25,100.0,0.02,True,136
70,25.0049,0.62,1062.91,9.03,1915.03,37.22,2027.91,7859.15,60.0,0.02,True,156
71,0.0028,0.0002,1426.61,21.61,2388.22,48.18,2388.25,8166.61,100.0,0.03,True,194
72,41.9987,0.842,1142.31,5.72,2211.65,42.72,2387.66,8073.52,100.0,0.02,True,196
73,42.005,0.84,1142.98,5.72,2212.97,42.61,2389.07,8150.2,100.0,0.02,False,239
74,10.0007,0.2508,1327.22,15.5,2319.24,46.16,2388.43,8104.73,100.0,0.03,True,158
75,0.0018,0.0,1429.66,21.61,2388.25,48.27,2388.25,8154.08,100.0,0.03,False,231
76,41.9999,0.8402,1148.87,5.72,2211.68,42.64,2387.82,8080.32,100.0,0.02,False,244
77,0.0009,0.0019,1435.08,21.61,2388.29,48.34,2388.27,8122.42,100.0,0.03,True,185
78,41.9984,0.8408,1132.68,5.72,2212.46,42.71,2388.53,8117.81,100.0,0.02,True,161
79,0.002,0.0,1435.36,21.61,2388.3,48.51,2388.24,8128.22,100.0,0.03,True,181
80,42.0059,0.8403,1139.95,5.72,2211.58,42.74,2387.68,8077.37,100.0,0.02,False,221
81,42.0039,0.84,1144.52,5.72,2212.93,42.7,2389.09,8152.15,100.0,0.02,False,288
82,42.0077,0.84,1141.7,5.72,2211.98,42.68,2388.08,8101.01,100.0,0.02,True,200
83,20.003,0.7001,1272.0,13.66,2324.08,45.04,2388.16,8041.05,100.0,0.03,True,170
84,42.006,0.84,1142.84,5.72,2213.0,42.57,2389.18,8150.19,100.0,0.02,False,259
85,35.0025,0.84,1143.52,8.0,2222.66,42.61,2387.74,8052.83,100.0,0.02,False,347
86,41.9983,0.8413,1152.28,5.72,2212.24,42.75,2388.32,8103.2,100.0,0.02,True,190
87,0.0029,0.0001,1425.43,21.61,2388.32,48.26,2388.3,8126.3,100.0,0.03,True,170
88,42.0049,0.8405,1146.06,5.72,2212.16,42.79,2388.21,8111.86,100.0,0.02,False,365
89,10.0012,0.2502,1330.07,15.5,2319.17,46.03,2388.37,8110.48,100.0,0.03,True,188
90,9.9994,0.25,1334.95,15.5,2319.19,46.25,2388.39,8150.33,100.0,0.03,True,188
91,25.0009,0.6216,1064.84,9.03,1915.09,37.34,2027.99,7863.35,60.0,0.02,False,245
92,35.0025,0.84,1149.25,8.0,2223.0,42.57,2388.1,8060.2,100.0,0.02,True,188
93,42.0009,0.8406,1138.93,5.72,2211.65,42.73,2387.75,8080.22,100.0,0.02,True,189
94,42.0053,0.8408,1142.5,5.72,2213.12,42.63,2389.28,8151.88,100.0,0.02,False,306
95,0.0016,0.0005,1430.39,21.61,2388.15,48.3,2388.18,8252.61,100.0,0.03,True,198
96,42.0041,0.8412,1143.68,5.72,2212.29,42.77,2388.43,8110.39,100.0,0.02,False,208
97,10.0033,0.2501,1334.96,15.5,2319.26,46.04,2388.43,8117.64,100.0,0.03,True,145
98,35.0016,0.84,1150.3,8.0,2222.8,42.61,2387.91,8058.19,100.0,0.02,True,167
99,0.0014,0.0001,1429.09,21.61,2388.26,48.29,2388.3,8120.15,100.0,0.03,False,202
100,42.0066,0.841,1147.87,5.72,2212.14,42.76,2388.19,8102.31,100.0,0.02,False,212
101,10.0034,0.25,1325.93,15.5,2319.2,46.13,2388.42,8170.2,100.0,0.03,False,211
102,42.0029,0.84,1150.35,5.72,2213.08,42.73,2389.22,8153.48,100.0,0.02,True,164
103,19.9993,0.7002,1266.88,13.66,2324.11,45.18,2388.28,8050.17,100.0,0.03,False,280
104,42.0057,0.84,1150.5,5.72,2212.97,42.79,2389.15,8143.29,100.0,0.02,False,228
105,42.0042,0.8404,1149.28,5.72,2213.78,42.67,2389.94,8200.06,100.0,0.02,False,303
106,42.0003,0.84,1149.44,5.72,2213.0,42.82,2389.13,8151.15,100.0,0.02,False,272
107,20.005,0.7012,1269.71,13.66,2324.09,44.94,2388.29,8042.87,100.0,0.03,True,145
108,9.9982,0.25,1328.7,15.5,2319.22,46.11,2388.41,8152.73,100.0,0.03,True,156
109,42.0014,0.84,1140.56,5.72,2212.33,42.74,2388.42,8110.28,100.0,0.02,False,220
110,41.9988,0.84,1146.51,5.72,2213.16,42.69,2389.37,8162.18,100.0,0.02,False,221
111,10.0051,0.25,1334.86,15.5,2319.24,46.18,2388.39,8097.43,100.0,0.03,True,200
112,0.0019,0.002,1432.87,21.61,2388.18,48.28,2388.23,8164.71,100.0,0.03,False,378
113,42.0045,0.8406,1141.99,5.72,2211.73,42.83,2387.81,8081.73,100.0,0.02,False,232
114,20.0057,0.7,1273.25,13.66,2324.92,45.04,2389.13,8177.22,100.0,0.03,False,203
115,42.0074,0.8416,1145.13,5.72,2212.03,42.59,2388.11,8097.33,100.0,0.02,False,206
116,0.0021,0.0,1427.09,21.61,2388.28,48.1,2388.33,8126.69,100.0,0.03,False,207
117,20.0001,0.7,1272.78,13.66,2324.07,45.11,2388.22,8048.88,100.0,0.03,True,177
118,41.9992,0.84,1140.6,5.72,2212.68,42.65,2388.79,8125.76,100.0,0.02,False,344
119,42.0071,0.8417,1145.76,5.72,2212.65,42.42,2388.76,8130.15,100.0,0.02,True,174
120,42.0052,0.8401,1139.04,5.71,2211.19,42.65,2387.27,8062.04,100.0,0.02,True,129
121,0.0028,0.0,1430.28,21.61,2388.29,48.29,2388.28,8123.43,100.0,0.03,False,210
122,0.0003,0.0017,1426.22,21.61,2388.29,48.31,2388.29,8129.02,100.0,0.03,True,185
123,42.0014,0.8407,1139.93,5.72,2212.88,42.52,2389.03,8142.47,100.0,0.02,False,226
124,41.9981,0.8411,1144.85,5.72,2213.41,42.75,2389.64,8178.14,100.0,0.02,False,267
125,42.0067,0.8411,1145.52,5.72,2212.29,42.56,2388.37,8104.79,100.0,0.02,True,168
126,42.0066,0.8407,1145.07,5.72,2212.13,42.8,2388.23,8109.25,100.0,0.02,True,199
127,10.0045,0.25,1330.46,15.5,2319.23,46.19,2388.4,8099.31,100.0,0.03,False,256
128,9.9989,0.2507,1328.42,15.5,2319.17,46.17,2388.45,8180.55,100.0,0.03,False,303
129,41.9988,0.8415,1144.44,5.72,2211.59,42.59,2387.61,8069.87,100.0,0.02,False,202
130,25.0059,0.62,1068.15,9.03,1914.83,37.27,2027.66,7854.13,60.0,0.02,True,182
131,20.0002,0.7004,1268.46,13.66,2324.54,45.19,2388.65,8115.87,100.0,0.03,False,280
132,0.0008,0.0011,1426.1,21.61,2388.36,48.24,2388.3,8124.36,100.0,0.03,True,183
133,42.0071,0.84,1138.28,5.72,2211.41,42.67,2387.5,8068.09,100.0,0.02,True,159
134,20.0051,0.7,1267.95,13.66,2324.14,45.37,2388.25,8053.88,100.0,0.03,False,247
135,41.9985,0.84,1141.48,5.72,2212.47,42.59,2388.58,8117.62,100.0,0.02,False,294
136,42.0053,0.842,1143.54,5.71,2211.51,42.76,2387.61,8072.77,100.0,0.02,True,160
137,41.9993,0.8408,1146.11,5.72,2211.48,42.85,2387.41,8067.0,100.0,0.02,True,148
138,25.004,0.6217,1068.23,9.03,1915.49,37.21,2028.33,7882.38,60.0,0.02,True,200
139,0.0029,0.0005,1430.34,21.61,2388.21,48.04,2388.22,8188.55,100.0,0.03,True,194
140,42.0043,0.84,1141.11,5.72,2211.67,42.9,2387.67,8077.45,100.0,0.02,False,214
141,0.0019,0.0003,1429.85,21.61,2388.29,48.37,2388.31,8125.93,100.0,0.03,True,163
142,42.0002,0.84,1152.22,5.72,2212.11,42.72,2388.13,8099.16,100.0,0.02,False,208
143,0.0017,0.0,1436.4,21.61,2388.29,48.16,2388.28,8117.06,100.0,0.03,True,166
144,42.0017,0.84,1145.53,5.72,2211.86,42.52,2387.97,8086.66,100.0,0.02,False,224
145,42.0034,0.84,1147.22,5.72,2213.21,42.75,2389.4,8164.99,100.0,0.02,False,251
146,10.0006,0.25,1336.66,15.5,2319.18,46.3,2388.37,8145.54,100.0,0.03,False,263
147,25.0014,0.6209,1068.93,9.03,1915.14,37.21,2028.08,7873.66,60.0,0.02,False,207
148,42.0027,0.84,1152.47,5.72,2212.66,42.73,2388.75,8131.71,100.0,0.02,False,279
149,42.0028,0.8417,1138.5,5.72,2212.54,42.7,2388.63,8122.3,100.0,0.02,False,289
150,42.0005,0.84,1143.73,5.72,2213.94,42.61,2390.2,8207.31,100.0,0.02,False,222
151,34.9985,0.8416,1150.66,8.0,2222.87,42.66,2387.97,8059.65,100.0,0.02,True,177
152,0.0013,0.0001,1438.16,21.61,2388.3,48.1,2388.23,8116.55,100.0,0.03,True,184
153,10.0007,0.25,1329.59,15.5,2319.17,46.29,2388.4,8136.57,100.0,0.03,False,292
154,42.0021,0.84,1145.76,5.72,2211.19,42.69,2387.27,8055.99,100.0,0.02,True,193
155,0.0027,0.0,1430.78,21.61,2388.25,48.1,2388.29,8145.31,100.0,0.03,False,226
156,42.0012,0.8404,1141.51,5.72,2212.09,42.96,2388.18,8100.78,100.0,0.02,False,299
157,10.0034,0.25,1336.42,15.5,2319.15,45.99,2388.35,8155.61,100.0,0.03,False,237
158,10.0028,0.25,1328.42,15.5,2319.17,46.2,2388.43,8137.87,100.0,0.03,False,308
159,42.004,0.8405,1146.61,5.72,2213.08,42.72,2389.31,8153.78,100.0,0.02,False,241
160,42.0019,0.84,1155.57,5.72,2213.12,42.92,2389.31,8157.39,100.0,0.02,False,212
161,42.0017,0.84,1138.4,5.72,2211.88,42.62,2387.94,8089.72,100.0,0.02,False,224
162,10.0052,0.25,1333.3,15.5,2319.16,45.97,2388.4,8166.76,100.0,0.03,True,194
163,42.0037,0.84,1140.4,5.72,2212.16,42.84,2388.18,8105.14,100.0,0.02,False,203
164,42.0005,0.8413,1146.23,5.71,2211.7,42.68,2387.79,8077.82,100.0,0.02,False,249
165,34.998,0.84,1147.46,8.0,2223.05,42.53,2388.09,8070.31,100.0,0.02,True,165
166,41.9992,0.84,1145.17,5.72,2211.53,42.73,2387.6,8069.12,100.0,0.02,False,204
167,10.0078,0.2505,1324.93,15.5,2319.18,46.22,2388.42,8145.41,100.0,0.03,False,232
168,42.0002,0.84,1153.04,5.72,2212.05,42.78,2388.13,8099.36,100.0,0.02,False,217
169,42.0071,0.84,1145.35,5.72,2212.63,42.58,2388.8,8131.86,100.0,0.02,True,185
170,41.9998,0.8412,1141.84,5.72,2211.89,42.82,2387.98,8086.92,100.0,0.02,True,179
171,42.0003,0.84,1143.45,5.72,2213.24,42.69,2389.38,8165.37,100.0,0.02,False,258
172,42.0027,0.8419,1144.58,5.72,2212.84,42.77,2388.98,8142.44,100.0,0.02,True,174
173,0.0025,0.0,1426.44,21.61,2388.39,48.32,2388.33,8109.43,100.0,0.03,True,151
174,42.0047,0.84,1148.8,5.72,2213.04,42.57,2389.21,8147.88,100.0,0.02,True,193
175,9.9991,0.25,1332.72,15.5,2319.21,45.95,2388.39,8211.12,100.0,0.03,False,202
176,20.0009,0.7,1270.39,13.66,2324.05,45.18,2388.2,8054.65,100.0,0.03,True,164
177,41.9981,0.84,1147.28,5.72,2212.79,42.56,2388.99,8139.96,100.0,0.02,True,181
178,10.0056,0.2515,1323.41,15.5,2319.19,46.07,2388.43,8103.82,100.0,0.03,True,148
179,9.9992,0.2518,1332.1,15.5,2319.21,46.02,2388.41,8116.96,100.0,0.03,True,181
180,41.9985,0.8405,1143.61,5.72,2213.82,42.72,2390.09,8197.89,100.0,0.02,False,297
181,0.0018,0.0005,1436.0,21.61,2388.28,48.1,2388.24,8122.26,100.0,0.03,False,255
182,10.0026,0.2512,1337.3,15.5,2319.19,46.03,2388.46,8111.55,100.0,0.03,True,200
183,42.004,0.84,1146.69,5.72,2211.78,42.78,2387.88,8086.22,100.0,0.02,False,207
184,42.0019,0.84,1147.1,5.72,2213.46,42.46,2389.67,8172.09,100.0,0.02,True,171
185,35.0029,0.84,1138.91,8.0,2222.92,42.65,2388.05,8061.95,100.0,0.02,True,162
186,41.9994,0.84,1150.93,5.72,2213.3,42.78,2389.5,8172.06,100.0,0.02,True,194
187,41.9985,0.8402,1144.28,5.72,2211.56,42.66,2387.63,8074.88,100.0,0.02,True,168
188,20.0053,0.7,1269.01,13.66,2324.14,45.08,2388.27,8051.05,100.0,0.03,True,148
189,10.003,0.25,1328.82,15.5,2319.18,46.18,2388.41,8109.39,100.0,0.03,False,209
190,10.0,0.2513,1330.63,15.5,2319.21,46.1,2388.47,8108.45,100.0,0.03,False,257
191,41.9994,0.84,1146.42,5.72,2213.03,42.68,2389.19,8153.64,100.0,0.02,False,219
192,9.9984,0.25,1328.75,15.5,2319.18,46.22,2388.43,8098.7,100.0,0.03,True,133
193,42.005,0.8404,1144.69,5.72,2212.9,42.55,2389.12,8148.46,100.0,0.02,True,172
194,10.0056,0.2515,1327.46,15.5,2319.25,46.01,2388.49,8098.79,100.0,0.03,True,148
195,42.002,0.84,1145.01,5.72,2212.44,42.75,2388.57,8113.39,100.0,0.02,True,190
196,10.0016,0.25,1323.31,15.5,2319.15,46.11,2388.34,8131.8,100.0,0.03,False,239
197,10.0009,0.252,1329.24,15.5,2319.18,46.0,2388.4,8115.85,100.0,0.03,True,154
198,41.9988,0.8401,1139.28,5.72,2211.63,42.56,2387.63,8082.04,100.0,0.02,False,205
199,10.0001,0.2508,1326.6,15.5,2319.22,45.95,2388.37,8197.45,100.0,0.03,False,219
200,42.0008,0.8407,1143.94,5.72,2212.42,42.52,2388.46,8120.08,100.0,0.02,False,227
201,34.9996,0.8414,1155.0,8.01,2224.47,42.44,2389.74,8150.7,100.0,0.02,True,191
202,20.0042,0.7013,1279.75,13.66,2324.33,45.07,2388.44,8078.7,100.0,0.03,True,197
203,42.0023,0.84,1148.0,5.72,2211.58,42.85,2387.68,8070.77,100.0,0.02,False,269
204,42.003,0.84,1138.67,5.72,2212.83,42.87,2388.93,8136.79,100.0,0.02,False,237
205,35.0005,0.84,1151.97,8.0,2222.83,42.65,2387.85,8056.65,100.0,0.02,True,198
206,42.0028,0.84,1140.39,5.72,2214.02,42.63,2390.23,8208.21,100.0,0.02,False,221
207,42.0079,0.84,1147.23,5.72,2212.06,42.69,2388.15,8102.66,100.0,0.02,True,184
208,25.0064,0.62,1058.96,9.03,1915.23,37.29,2028.1,7870.78,60.0,0.02,True,150
209,42.0034,0.84,1154.1,5.72,2211.91,42.7,2387.94,8097.58,100.0,0.02,False,201
210,41.9985,0.8401,1138.32,5.72,2211.75,42.68,2387.81,8089.3,100.0,0.02,True,184
211,42.0,0.84,1149.1,5.72,2213.38,42.74,2389.64,8175.4,100.0,0.02,False,214
212,25.0042,0.62,1070.86,9.03,1914.94,37.35,2027.71,7857.97,60.0,0.02,True,149
213,42.003,0.8403,1149.08,5.72,2213.9,42.58,2390.1,8210.66,100.0,0.02,True,196
214,41.9994,0.8411,1143.01,5.72,2212.28,42.78,2388.31,8108.56,100.0,0.02,True,146
215,42.0071,0.8412,1144.72,5.72,2213.63,42.77,2389.85,8185.67,100.0,0.02,False,226
216,0.0008,0.0,1431.64,21.61,2388.23,48.24,2388.24,8145.52,100.0,0.03,False,229
217,19.9985,0.7,1275.66,13.66,2324.1,45.1,2388.24,8050.39,100.0,0.03,True,162
218,0.0014,0.0,1434.58,21.61,2388.19,48.25,2388.21,8175.32,100.0,0.03,False,237
219,42.0026,0.84,1146.76,5.72,2211.56,42.68,2387.62,8080.88,100.0,0.02,True,156
220,42.0028,0.84,1149.74,5.72,2211.77,42.7,2387.77,8083.29,100.0,0.02,False,234
221,42.0067,0.84,1147.35,5.72,2212.77,42.7,2388.9,8134.9,100.0,0.02,True,178
222,10.0017,0.2508,1331.59,15.5,2319.17,46.06,2388.43,8117.85,100.0,0.03,True,195
223,42.003,0.84,1143.35,5.72,2213.22,42.72,2389.45,8164.0,100.0,0.02,False,218
224,20.0026,0.7018,1267.03,13.66,2324.14,45.11,2388.17,8051.04,100.0,0.03,True,174
225,10.0042,0.25,1331.34,15.5,2319.17,45.98,2388.41,8130.66,100.0,0.03,True,156
226,42.006,0.84,1146.32,5.71,2211.66,42.71,2387.75,8081.78,100.0,0.02,True,178
227,42.0052,0.84,1148.14,5.72,2212.74,42.65,2388.93,8137.62,100.0,0.02,True,184
228,42.0061,0.84,1146.51,5.72,2213.02,42.95,2389.18,8149.63,100.0,0.02,False,262
229,41.9981,0.8417,1149.04,5.72,2211.75,42.72,2387.82,8082.19,100.0,0.02,True,176
230,42.0022,0.84,1142.93,5.72,2212.13,42.69,2388.32,8110.35,100.0,0.02,True,186
231,0.0016,0.0018,1428.5,21.61,2388.26,48.2,2388.28,8114.88,100.0,0.03,True,144
232,41.9998,0.84,1146.74,5.72,2212.94,42.61,2389.09,8147.76,100.0,0.02,False,242
233,42.0051,0.84,1144.59,5.72,2213.04,42.67,2389.19,8147.92,100.0,0.02,True,190
234,9.9995,0.2501,1334.59,15.5,2319.21,46.12,2388.41,8106.99,100.0,0.03,True,159
235,0.0001,0.0,1433.27,21.61,2388.33,48.11,2388.28,8118.52,100.0,0.03,True,183
236,42.0077,0.8408,1141.93,5.72,2211.77,42.87,2387.72,8082.34,100.0,0.02,False,239
237,42.0031,0.84,1144.31,5.72,2212.23,42.55,2388.28,8108.56,100.0,0.02,False,209
238,35.0079,0.8401,1153.58,8.0,2222.56,42.67,2387.68,8050.36,100.0,0.02,True,156
239,10.0059,0.25,1333.83,15.5,2319.2,46.19,2388.44,8152.66,100.0,0.03,False,263
240,0.0018,0.0,1422.36,21.61,2388.28,48.12,2388.25,8125.31,100.0,0.03,False,266
241,10.0049,0.2515,1338.99,15.5,2319.27,45.94,2388.38,8189.54,100.0,0.03,True,183
242,42.0019,0.84,1150.4,5.72,2213.68,42.62,2389.86,8188.74,100.0,0.02,False,273
243,42.0017,0.8415,1140.94,5.72,2213.19,42.86,2389.26,8163.62,100.0,0.02,False,230
244,0.0008,0.0,1432.03,21.61,2388.3,48.19,2388.26,8103.87,100.0,0.03,True,128
245,42.0024,0.8411,1143.62,5.72,2212.56,42.8,2388.68,8126.94,100.0,0.02,False,253
246,42.0007,0.84,1143.15,5.72,2212.41,42.72,2388.57,8119.74,100.0,0.02,True,194
247,25.0041,0.62,1069.04,9.03,1915.55,37.24,2028.51,7889.73,60.0,0.02,True,197
248,0.0015,0.0,1429.64,21.61,2388.23,48.34,2388.21,8147.85,100.0,0.03,False,234
249,41.9983,0.84,1142.85,5.72,2212.82,42.7,2389.0,8144.0,100.0,0.02,False,202
250,25.0051,0.62,1068.75,9.03,1914.87,37.37,2027.74,7850.96,60.0,0.02,True,184
251,41.9988,0.84,1145.99,5.72,2212.83,42.61,2389.02,8144.66,100.0,0.02,False,266
252,10.0014,0.2514,1328.75,15.5,2319.22,46.3,2388.41,8102.51,100.0,0.03,True,135
253,9.9992,0.25,1338.0,15.5,2319.19,45.96,2388.34,8114.17,100.0,0.03,True,149
254,25.0024,0.6203,1075.12,9.03,1914.96,37.46,2027.84,7855.14,60.0,0.02,False,260
255,42.0058,0.8419,1143.87,5.72,2211.9,42.79,2387.97,8091.37,100.0,0.02,False,340
256,0.0019,0.0003,1425.84,21.61,2388.32,48.36,2388.29,8128.22,100.0,0.03,True,163
257,42.0077,0.8411,1146.53,5.72,2213.35,42.7,2389.5,8171.37,100.0,0.02,False,309
258,9.9984,0.25,1326.79,15.5,2319.17,46.08,2388.46,8124.16,100.0,0.03,True,143
259,41.9989,0.8405,1149.97,5.71,2211.63,42.73,2387.73,8075.91,100.0,0.02,False,205
260,35.0036,0.84,1145.52,8.01,2225.12,42.5,2390.38,8185.35,100.0,0.02,False,316
