cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,av11,av12,av13,av14,av15,av16,av17,av18,av19,av20,av21,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,sd17,sd18,sd19,sd20,sd21
3,0.0018,0.0003,100,518.67,641.55,1588.32,1398.96,14.62,21.6,555.14,2388.04,9054.24,1.3,47.22,522.58,2387.99,8140.58,8.3802,0.03,391,2388,100,39.11,23.425,518.67,641.7533333,1586.403333,1394.456667,14.62,21.60333333,554.8133333,2388.01,9053.423333,1.3,47.13,522.5366667,2388.01,8136.463333,8.3958,0.03,391.3333333,2388,100,39.03666667,23.43066667,0,0.17953644,2.308946369,4.00819577,0,0.005773503,0.307300071,0.03,1.845869262,0,0.173493516,0.188767935,0.043588989,4.868206377,0.018818342,0,0.577350269,0,0,0.087368949,0.025477114
4,0.0035,-0.0004,100,518.67,641.68,1584.15,1396.08,14.62,21.61,554.25,2387.98,9058.01,1.3,47.1,522.49,2387.93,8140.44,8.4018,0.03,391,2388,100,39.13,23.5027,518.67,641.735,1585.84,1394.8625,14.62,21.605,554.6725,2388.0025,9054.57,1.3,47.1225,522.525,2387.99,8137.4575,8.3973,0.03,391.25,2388,100,39.06,23.448675,0,0.151107026,2.196254387,3.371828139,0,0.005773503,0.377215677,0.028722813,2.744242458,0,0.142448821,0.155884573,0.053541261,4.444445035,0.015655244,0,0.5,0,0,0.085244746,0.041592337
5,0.0005,0.0004,100,518.67,641.73,1579.03,1402.52,14.62,21.6,555.12,2388.03,9058.15,1.3,47.25,522.27,2387.94,8136.67,8.3867,0.03,390,2388,100,39.18,23.4234,518.67,641.734,1584.478,1396.394,14.62,21.604,554.762,2388.008,9055.286,1.3,47.148,522.474,2387.98,8137.3,8.39518,0.03,391,2388,100,39.084,23.44362,0,0.130881626,3.590664284,4.50048664,0,0.005477226,0.38310573,0.027748874,2.865559282,0,0.135904378,0.176720118,0.051478151,3.865080853,0.014362695,0,0.707106781,0,0,0.091268834,0.037751914
6,-0.001,0.0004,100,518.67,641.3,1577.5,1396.76,14.62,21.61,554.98,2388.04,9054.07,1.3,47.05,522.8,2387.99,8133.65,8.38,0.03,392,2388,100,39.15,23.427,518.67,641.616,1583.21,1397.49,14.62,21.606,554.852,2388.014,9055.156,1.3,47.172,522.568,2387.966,8136.486,8.39308,0.03,391.2,2388,100,39.126,23.43732,0,0.201816749,4.791080254,3.499728561,0,0.005477226,0.367518707,0.031304952,2.912023352,0,0.09093954,0.203887224,0.028809721,4.170986694,0.01590305,0,0.836660027,0,0,0.045055521,0.037273275
7,0.0001,-0.0002,100,518.67,642.03,1587.49,1400.65,14.62,21.61,554.84,2388.05,9052.67,1.3,47.1,522.14,2388.04,8136.33,8.3941,0.03,391,2388,100,39.1,23.4718,518.67,641.658,1583.298,1398.994,14.62,21.606,554.866,2388.028,9055.428,1.3,47.144,522.456,2387.978,8137.534,8.38856,0.03,391,2388,100,39.134,23.44998,0,0.266401952,4.882414362,2.676673308,0,0.005477226,0.364938351,0.027748874,2.496902081,0,0.086197448,0.25948025,0.044384682,2.95823089,0.009388983,0,0.707106781,0,0,0.032093613,0.035756426
8,0.0015,-0.0004,100,518.67,642.55,1590.41,1395.39,14.62,21.61,554.65,2388.01,9055.82,1.3,47.2,522.77,2387.96,8137.92,8.3861,0.03,391,2388,100,39.11,23.4381,518.67,641.858,1583.716,1398.28,14.62,21.608,554.768,2388.022,9055.744,1.3,47.14,522.494,2387.972,8137.002,8.38974,0.03,391,2388,100,39.134,23.4526,0,0.465800386,5.473534507,3.126379695,0,0.004472136,0.337742505,0.027748874,2.40733878,0,0.082158384,0.293819673,0.044384682,2.472866757,0.008393629,0,0.707106781,0,0,0.032093613,0.033900221
9,0.0017,-0.0004,100,518.67,641.98,1581.99,1395.01,14.62,21.6,554.69,2388.02,9051.67,1.3,47.14,522.4,2387.98,8145.29,8.3868,0.03,390,2388,100,39.06,23.4875,518.67,641.918,1583.284,1398.066,14.62,21.606,554.856,2388.03,9054.476,1.3,47.148,522.476,2387.982,8137.972,8.38674,0.03,390.8,2388,100,39.12,23.44956,0,0.456366081,5.515793687,3.343685093,0,0.005477226,0.197053292,0.015811388,2.578988174,0,0.079183332,0.296866974,0.037682887,4.376839042,0.0050003,0,0.836660027,0,0,0.046368092,0.028542477
10,-0.0045,0.0002,100,518.67,641.99,1586.37,1394.86,14.62,21.6,554.63,2387.99,9058.88,1.3,47.21,521.99,2387.97,8138.64,8.3982,0.03,391,2388,100,39.2,23.6005,518.67,641.97,1584.752,1396.534,14.62,21.606,554.758,2388.022,9054.622,1.3,47.14,522.42,2387.988,8138.366,8.38904,0.03,391,2388,100,39.124,23.48498,0,0.444240926,5.05835151,2.420026859,0,0.005477226,0.148895937,0.023874673,2.845833797,0,0.067453688,0.364211477,0.031144823,4.318614361,0.007157025,0,0.707106781,0,0,0.053197744,0.069073056
11,0.0006,0.0004,100,518.67,642.26,1589.21,1401.29,14.62,21.61,554.7,2388.01,9053.21,1.3,47.21,522.2,2388.03,8135.85,8.4188,0.03,392,2388,100,39.23,23.3888,518.67,642.162,1587.094,1397.44,14.62,21.606,554.702,2388.016,9054.45,1.3,47.172,522.3,2387.996,8138.806,8.3968,0.03,391,2388,100,39.14,23.47734,0,0.24509182,3.248273388,3.236139676,0,0.005477226,0.08228001,0.021908902,2.912739261,0,0.049699095,0.301081384,0.036469165,3.798793229,0.013301692,0,0.707106781,0,0,0.0717635,0.078551595
2,-0.001,0,100,518.67,642.66,1587.04,1398.62,14.62,21.61,554.76,2388.05,9059.67,1.3,47.35,522.03,2388.01,8137.38,8.3949,0.03,390,2388,100,39.07,23.4369,518.67,642.35,1585.62,1398.375,14.62,21.61,554.36,2388.055,9058.31,1.3,47.245,522.135,2388.005,8137.89,8.4078,0.03,390.5,2388,100,39.015,23.3787,0,0.438406204,2.008183259,0.346482323,0,0,0.565685425,0.007071068,1.923330445,0,0.148492424,0.148492424,0.007071068,0.721248917,0.018243355,0,0.707106781,0,0,0.077781746,0.082307229
3,0.0013,-0.0002,100,518.67,642.07,1580.75,1401.1,14.62,21.61,554.51,2388.03,9050.43,1.3,46.94,522.16,2388.01,8137.2,8.382,0.03,393,2388,100,39.03,23.3162,518.67,642.2566667,1583.996667,1399.283333,14.62,21.61,554.41,2388.046667,9055.683333,1.3,47.14333333,522.1433333,2388.006667,8137.66,8.3992,0.03,391.3333333,2388,100,39.02,23.35786667,0,0.34961884,3.149925925,1.592241606,0,0,0.409267639,0.015275252,4.74844536,0,0.205020324,0.105987421,0.005773503,0.647147587,0.019705075,0,1.527525232,0,0,0.055677644,0.068478634
4,0.0008,-0.0002,100,518.67,642.5,1580.12,1395.76,14.62,21.61,554.48,2388.07,9060.43,1.3,47.44,522.31,2388.07,8139.35,8.394,0.03,391,2388,100,38.94,23.4901,518.67,642.3175,1583.0275,1398.4025,14.62,21.61,554.4275,2388.0525,9056.87,1.3,47.2175,522.185,2388.0225,8138.0825,8.3979,0.03,391.25,2388,100,39,23.390925,0,0.310308986,3.220531788,2.189434859,0,0,0.335993552,0.017078251,4.545825924,0,0.223662692,0.120138809,0.032015621,0.996606743,0.016297853,0,1.258305739,0,0,0.060553007,0.086588851
5,0.002,0.0004,100,518.67,641.97,1581.48,1394.05,14.62,21.61,554.14,2388.01,9054.36,1.3,47.16,522,2388.03,8135.99,8.4233,0.03,391,2388,100,38.9,23.419,518.67,642.248,1582.718,1397.532,14.62,21.61,554.37,2388.044,9056.368,1.3,47.206,522.148,2388.024,8137.664,8.40298,0.03,391.2,2388,100,38.98,23.39654,0,0.310435178,2.873642288,2.717364532,0,0,0.318119474,0.024083189,4.093704923,0,0.195397032,0.132928552,0.02792848,1.273039669,0.018117588,0,1.095445115,0,0,0.068920244,0.076031987
6,-0.001,-0.0003,100,518.67,642.65,1581.26,1397.98,14.62,21.61,554.86,2388.08,9048.62,1.3,47.12,522.58,2388.08,8137.99,8.4126,0.03,392,2388,100,39.04,23.4656,518.67,642.37,1582.13,1397.502,14.62,21.61,554.55,2388.048,9054.702,1.3,47.202,522.216,2388.04,8137.582,8.40136,0.03,391.4,2388,100,38.996,23.42556,0,0.327643099,2.794279871,2.709929888,0,0,0.280535203,0.028635642,5.311512967,0,0.197281525,0.237549995,0.033166248,1.226119896,0.016419592,0,1.140175425,0,0,0.072318739,0.066895164
7,-0.0018,-0.0003,100,518.67,642.62,1583.68,1405.76,14.62,21.61,554.29,2388.06,9051.91,1.3,47.26,522.08,2388.01,8141.85,8.4369,0.03,393,2388,100,39.03,23.4051,518.67,642.362,1581.458,1398.93,14.62,21.61,554.456,2388.05,9053.15,1.3,47.184,522.226,2388.04,8138.476,8.40976,0.03,392,2388,100,38.988,23.4192,0,0.319170801,1.348005935,4.640140084,0,0,0.271164157,0.029154759,4.580376622,0,0.184065206,0.228648201,0.033166248,2.24679327,0.022062253,0,1,0,0,0.063796552,0.067058967
8,0.0017,-0.0005,100,518.67,642.23,1581.6,1401.86,14.62,21.61,554.11,2388,9059.59,1.3,47.13,521.87,2388.06,8141.47,8.4197,0.03,392,2388,100,38.85,23.3564,518.67,642.394,1581.628,1399.082,14.62,21.61,554.376,2388.044,9054.982,1.3,47.222,522.168,2388.05,8139.33,8.4173,0.03,391.8,2388,100,38.952,23.42724,0,0.28918852,1.288689257,4.740360746,0,0,0.307782391,0.036469165,5.030245521,0,0.133865604,0.280481728,0.029154759,2.443440198,0.015739282,0,0.836660027,0,0,0.08228001,0.052438659
9,0,0.0003,100,518.67,642.6,1581.04,1398.3,14.62,21.61,554.61,2387.99,9060.04,1.3,47.16,522.47,2388.09,8136.84,8.4151,0.03,392,2388,100,39.02,23.3873,518.67,642.414,1581.812,1399.59,14.62,21.61,554.402,2388.028,9054.904,1.3,47.166,522.2,2388.054,8138.828,8.42152,0.03,392,2388,100,38.968,23.40668,0,0.301546016,1.065983114,4.420678681,0,0,0.323836378,0.039623226,4.926604307,0,0.055497748,0.308463936,0.033615473,2.684272713,0.009536876,0,0.707106781,0,0,0.087005747,0.040402686
10,-0.0009,0.0003,100,518.67,642.72,1582.2,1400.07,14.62,21.61,554.28,2388,9053.42,1.3,47.22,522.4,2388.05,8130.42,8.4063,0.03,392,2388,100,38.96,23.3129,518.67,642.564,1581.956,1400.794,14.62,21.61,554.43,2388.026,9054.716,1.3,47.178,522.28,2388.058,8137.714,8.41812,0.03,392.2,2388,100,38.98,23.38546,0,0.192171798,1.058527279,3.180421356,0,0,0.300749065,0.040987803,4.97029476,0,0.060166436,0.295211788,0.031144823,4.616722864,0.011559498,0,0.447213596,0,0,0.079056942,0.056835227
11,-0.0009,0.0002,100,518.67,641.94,1591.43,1400.59,14.62,21.61,554.88,2388.03,9051.86,1.3,47.4,522.02,2388.01,8138.08,8.4237,0.03,391,2388,100,38.8,23.4161,518.67,642.422,1583.99,1401.316,14.62,21.61,554.434,2388.016,9055.364,1.3,47.234,522.168,2388.044,8137.732,8.42034,0.03,392,2388,100,38.932,23.37556,0,0.327444652,4.274002808,2.793784172,0,0,0.3079448,0.028809721,4.114344419,0,0.105735519,0.256651515,0.034351128,4.618243172,0.011297256,0,0.707106781,0,0,0.102810505,0.041675268
2,0.0002,-0.0004,100,518.67,642.45,1583.54,1410.36,14.62,21.61,554.62,2388.06,9048.41,1.3,47.35,521.7,2388.04,8129.53,8.3999,0.03,391,2388,100,39.02,23.4437,518.67,642.525,1584.47,1406.605,14.62,21.61,554.295,2388.06,9049.755,1.3,47.32,521.82,2388.055,8130.515,8.40995,0.03,392,2388,100,39.03,23.41255,0,0.106066017,1.315218613,5.310371927,0,0,0.459619408,0,1.902117241,0,0.042426407,0.169705627,0.021213203,1.393000359,0.014212846,0,1.414213562,0,0,0.014142136,0.044052752
3,-0.0025,0,100,518.67,642.16,1586.59,1398.65,14.62,21.61,553.52,2388.08,9052.57,1.3,47.4,521.35,2388.09,8131.24,8.415,0.03,391,2388,100,38.96,23.3314,518.67,642.4033333,1585.176667,1403.953333,14.62,21.61,554.0366667,2388.066667,9050.693333,1.3,47.34666667,521.6633333,2388.066667,8130.756667,8.411633333,0.03,391.6666667,2388,100,39.00666667,23.3855,0,0.223681321,1.537216098,5.932455928,0,0,0.553022001,0.011547005,2.109605018,0,0.055075705,0.296704117,0.025166115,1.070249192,0.010464384,0,1.154700538,0,0,0.04163332,0.056262154
4,0.0024,-0.0003,100,518.67,642.73,1583.96,1400.32,14.62,21.61,553.58,2388.08,9047.7,1.3,47.39,522,2388.01,8132.9,8.4309,0.03,392,2388,100,38.87,23.4338,518.67,642.485,1584.8725,1403.045,14.62,21.61,553.9225,2388.07,9049.945,1.3,47.3575,521.7475,2388.0525,8131.2925,8.41645,0.03,391.75,2388,100,38.9725,23.397575,0,0.245017006,1.39478493,5.1732936,0,0,0.50598913,0.011547005,2.281877882,0,0.049916597,0.295,0.035,1.382784027,0.012876464,0,0.957427108,0,0,0.076321688,0.051899029
5,0.0012,-0.0002,100,518.67,642.11,1590.62,1399.42,14.62,21.61,552.91,2388.1,9046.98,1.3,47.26,521.35,2388.11,8126.94,8.4164,0.03,393,2388,100,38.91,23.2896,518.67,642.41,1586.022,1402.32,14.62,21.61,553.72,2388.076,9049.352,1.3,47.338,521.668,2388.064,8130.422,8.41644,0.03,392,2388,100,38.96,23.37598,0,0.270462567,2.840038732,4.76448843,0,0,0.630119036,0.016733201,2.379804614,0,0.061400326,0.311239458,0.039749214,2.285370867,0.011151368,0,1,0,0,0.0717635,0.065968568
6,0.0023,0.0005,100,518.67,642.46,1588.76,1407.78,14.62,21.61,553.12,2388.04,9048.78,1.3,47.18,521.9,2388.09,8136.69,8.4313,0.03,392,2388,100,38.94,23.3491,518.67,642.382,1586.694,1403.306,14.62,21.61,553.55,2388.072,9048.888,1.3,47.316,521.66,2388.068,8131.46,8.4187,0.03,391.8,2388,100,38.94,23.36952,0,0.252527226,3.046108993,5.372874463,0,0,0.659772688,0.022803509,2.170776359,0,0.09396808,0.302902625,0.041472883,3.66163215,0.013038597,0,0.836660027,0,0,0.056124861,0.066880318
7,-0.002,0.0002,100,518.67,642.26,1586.91,1404.44,14.62,21.61,554.42,2388.06,9053.53,1.3,47.45,521.96,2388.08,8130.68,8.4372,0.03,393,2388,100,38.87,23.4134,518.67,642.344,1587.368,1402.122,14.62,21.61,553.51,2388.072,9049.912,1.3,47.336,521.712,2388.076,8131.69,8.42616,0.03,392.2,2388,100,38.91,23.36346,0,0.254027558,2.497132355,3.872624433,0,0,0.579913787,0.022803509,2.95490609,0,0.111937483,0.332370275,0.038470768,3.544333506,0.009881447,0,0.836660027,0,0,0.040620192,0.059437093
8,0.0014,-0.0004,100,518.67,641.97,1584.18,1406.22,14.62,21.61,553.93,2388.05,9048.79,1.3,47.24,521.77,2388.06,8134.3,8.4169,0.03,393,2388,100,38.91,23.4044,518.67,642.306,1586.886,1403.636,14.62,21.61,553.592,2388.066,9049.156,1.3,47.304,521.796,2388.07,8132.302,8.42654,0.03,392.6,2388,100,38.9,23.37806,0,0.29871391,2.887001905,3.649202653,0,0,0.609893433,0.024083189,2.562329019,0,0.111937483,0.264064386,0.038078866,3.707629971,0.009368191,0,0.547722558,0,0,0.03,0.058552353
9,0.0059,0.0005,100,518.67,642.59,1584.78,1403.51,14.62,21.61,553.78,2388.06,9051.3,1.3,47.43,522.23,2388,8132.18,8.388,0.03,393,2388,100,38.88,23.3179,518.67,642.278,1587.05,1404.274,14.62,21.61,553.632,2388.062,9049.876,1.3,47.312,521.842,2388.068,8132.158,8.41796,0.03,392.8,2388,100,38.902,23.35488,0,0.251932531,2.696219576,3.172204281,0,0,0.61544293,0.022803509,2.556702955,0,0.120706255,0.322133513,0.042071368,3.692549255,0.019034784,0,0.447213596,0,0,0.027748874,0.053710399
10,0.0006,-0.0003,100,518.67,642.78,1586,1400.12,14.62,21.61,553.54,2388.06,9050.49,1.3,47.5,521.54,2388.09,8131.5,8.4233,0.03,392,2388,100,38.94,23.3154,518.67,642.412,1586.126,1404.414,14.62,21.61,553.758,2388.054,9050.578,1.3,47.36,521.88,2388.064,8133.07,8.41934,0.03,392.6,2388,100,38.908,23.36004,0,0.311400064,1.814326321,2.908948264,0,0,0.480333218,0.008944272,1.979462048,0,0.140890028,0.253475837,0.037815341,2.428291581,0.019143223,0,0.547722558,0,0,0.032710854,0.046645718
11,0.0034,0.0003,100,518.67,642.21,1588.75,1395.79,14.62,21.61,553.58,2388.07,9049.29,1.3,47.31,522.35,2388.06,8130.08,8.4134,0.03,394,2388,100,39.21,23.4153,518.67,642.362,1586.124,1402.016,14.62,21.61,553.85,2388.06,9050.68,1.3,47.386,521.97,2388.058,8131.748,8.41576,0.03,393,2388,100,38.962,23.37328,0,0.32166753,1.81069876,4.127327222,0,0,0.355387113,0.007071068,1.873979722,0,0.107377838,0.330529878,0.034928498,1.634294955,0.017986189,0,0.707106781,0,0,0.14131525,0.051867109
2,0.0002,0.0003,100,518.67,642.42,1589.69,1394.88,14.62,21.61,555.57,2388.01,9063.03,1.3,47.09,522.6,2387.99,8153.04,8.4053,0.03,392,2388,100,39.12,23.4075,518.67,642.095,1586.64,1395.07,14.62,21.61,554.98,2387.995,9064.76,1.3,47.14,522.47,2387.995,8152.63,8.40775,0.03,392.5,2388,100,39.05,23.42715,0,0.459619408,4.313351365,0.268700577,0,0,0.834386002,0.021213203,2.446589463,0,0.070710678,0.183847763,0.007071068,0.579827561,0.003464823,0,0.707106781,0,0,0.098994949,0.027789297
3,0.0002,-0.0005,100,518.67,642.07,1582.45,1396.29,14.62,21.61,554.49,2388.01,9068.21,1.3,47.11,522.85,2388.02,8148.42,8.399,0.03,393,2388,100,39.18,23.3298,518.67,642.0866667,1585.243333,1395.476667,14.62,21.61,554.8166667,2388,9065.91,1.3,47.13,522.5966667,2388.003333,8151.226667,8.404833333,0.03,392.6666667,2388,100,39.09333333,23.3947,0,0.325320355,3.892882394,0.729543236,0,0,0.654318984,0.017320508,2.638257,0,0.052915026,0.255016339,0.015275252,2.464981406,0.005614564,0,0.577350269,0,0,0.102632029,0.059540994
4,0.0017,-0.0004,100,518.67,642.08,1586.84,1397.94,14.62,21.61,555.16,2387.96,9070.56,1.3,47.29,522.11,2387.99,8148.81,8.3876,0.03,390,2388,100,39.22,23.4306,518.67,642.085,1585.6425,1396.0925,14.62,21.61,554.9025,2387.99,9067.0725,1.3,47.17,522.475,2388,8150.6225,8.400525,0.03,392,2388,100,39.125,23.403675,0,0.265643872,3.277248592,1.368146556,0,0,0.561152089,0.024494897,3.169525464,0,0.090921211,0.320260311,0.014142136,2.347514643,0.009760251,0,1.414213562,0,0,0.105039675,0.051822992
5,-0.0007,0.0001,100,518.67,642.03,1581.45,1394.28,14.62,21.61,554.59,2387.98,9069.25,1.3,47.09,522.6,2387.95,8147.69,8.4129,0.03,390,2388,100,39.17,23.3331,518.67,642.074,1584.804,1395.73,14.62,21.61,554.84,2387.988,9067.508,1.3,47.154,522.5,2387.99,8150.036,8.403,0.03,391.6,2388,100,39.134,23.38956,0,0.231365512,3.401570226,1.435583505,0,0,0.505667875,0.021679483,2.912510944,0,0.086486993,0.282931087,0.025495098,2.419303619,0.010103217,0,1.516575089,0,0,0.093166518,0.054866957
6,0.0018,0.0002,100,518.67,642.32,1586.1,1390.56,14.62,21.61,554.53,2388.03,9062.14,1.3,47.16,522.87,2388.02,8148.03,8.4204,0.03,393,2388,100,39,23.3878,518.67,642.184,1585.306,1394.79,14.62,21.61,554.868,2387.998,9066.638,1.3,47.148,522.606,2387.994,8149.198,8.40504,0.03,391.6,2388,100,39.138,23.37776,0,0.174441967,3.362607619,2.753797378,0,0,0.477619095,0.027748874,3.805439528,0,0.084380092,0.306316829,0.028809721,2.188325844,0.012633408,0,1.516575089,0,0,0.084970583,0.044922188
7,0.0019,0.0001,100,518.67,642.78,1585.21,1399.1,14.62,21.6,554.85,2387.92,9069.18,1.3,47.14,522.52,2388,8151.1,8.3913,0.03,393,2388,100,39.2,23.382,518.67,642.256,1584.41,1395.634,14.62,21.608,554.724,2387.98,9067.868,1.3,47.158,522.59,2387.996,8148.81,8.40224,0.03,391.8,2388,100,39.154,23.37266,0,0.314372391,2.34543173,3.366746204,0,0.004472136,0.281211664,0.043011626,3.309270312,0,0.078549348,0.308787953,0.028809721,1.347126572,0.014035063,0,1.643167673,0,0,0.088204308,0.042057912
