,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,pre
1778,0.470134585,-0.338919384,-0.78605275,-0.851362847,0.064032198,0.683872918,-0.641555264,0.854508577,-0.98124008,0.587446863,-0.198265884
2466,0.215347271,-0.514000938,0.658071429,0.095136525,0.471553065,0.322099427,0.599317564,0.936076633,0.414478627,0.227563446,-0.848485636
159,0.534821506,0.769089668,-0.105005084,0.236118745,-0.363799778,0.808565102,-0.733431122,0.920986277,-0.702187345,0.903754042,2.14524428
1563,-0.541402994,-0.077079106,-0.179638139,-0.155220536,0.240139277,-0.824385401,-0.625571759,0.197324481,-0.197327767,0.791680556,-0.633004654
402,0.792042671,0.240499078,0.931293012,0.194145593,0.270345239,-0.189104287,-0.9042193,0.154326682,-0.698460662,0.965729414,1.442234091
4258,-0.892229829,0.023200158,0.691056936,0.552496941,-0.996192527,-0.527087929,-0.800981995,-0.120425041,0.995686938,-0.891623391,-0.759568229
4775,-0.475425385,0.64598844,-0.064088839,-0.542398937,0.958880185,-0.078014794,-0.728885526,-0.634038238,0.762465692,0.050643146,0.82545715
1095,0.803111661,-0.090554944,-0.034804798,0.119071516,0.272410828,0.634683739,-0.687081576,0.752753113,-0.969444102,0.204793806,0.691558132
3054,0.997548516,-0.934194745,0.065719152,0.214433789,-0.70895364,0.1918099,-0.476054387,0.168768817,-0.232595342,-0.908076229,-0.811837355
4268,-0.251360372,-0.027908135,-0.097518421,0.487237765,-0.772360629,0.339071096,-0.495572416,0.061130664,-0.575644938,0.764848274,-0.273636315
3711,0.750879023,0.792240741,0.850471594,-0.854153735,-0.044011374,-0.147620062,-0.486786434,-0.301298366,-0.527337366,0.627291784,2.470184945
453,-0.738660994,-0.751527992,-0.583744266,0.513286373,-0.3091214,0.740440935,0.442191473,-0.651716455,0.659656971,-0.283002705,-2.399256114
4085,-0.548386183,0.315892301,-0.734602421,-0.465322629,0.997569607,0.930111867,-0.019920368,-0.900858498,0.201358703,0.935109039,-0.045258523
3861,0.661200153,-0.221631537,-0.638461128,0.362039331,0.502119221,-0.664477948,0.706163212,-0.009017239,-0.671167361,0.668702838,0.189606997
4390,-0.778025003,-0.383649867,0.187480422,0.177573583,-0.779359707,-0.474674521,0.852703415,-0.499055968,0.472436187,-0.186866598,-1.610372501
1902,0.166835438,-0.105803695,-0.436989984,-0.685019731,-0.472318948,0.82070615,-0.147912966,0.402209054,-0.063812032,-0.116205301,-0.084529719
2412,-0.855827077,-0.874672265,-0.821548961,-0.560115436,0.744404581,0.349065942,-0.564255036,0.239358401,0.05856149,0.270036509,-2.67956467
1362,-0.901628558,-0.366054278,0.738999317,-0.299219288,-0.321493542,-0.116092521,-0.300512658,0.945157553,0.618944664,-0.748199914,-1.598355105
3777,-0.330922748,-0.772482055,-0.39914738,0.326193146,-0.253062173,0.84443577,-0.354876522,0.505284904,0.992548514,-0.826993441,-1.954882895
3589,-0.867826679,-0.56604445,0.558083396,-0.179888492,0.539276761,-0.860856907,-0.974375062,-0.04787862,0.954965939,0.21084208,-1.927414414
3897,-0.528167783,-0.979059271,-0.702971637,0.984877309,0.411712185,-0.993694064,0.353537839,-0.224960549,0.592464494,-0.069871226,-2.558462245
3411,-0.88226452,0.950695869,0.553751865,-0.45298852,0.296481487,-0.261228292,-0.08629697,-0.7863137,-0.968859411,0.06162389,1.076659115
3635,-0.727520664,-0.43419341,-0.540616614,-0.000605079,0.956632857,-0.553240702,-0.108695554,-0.768475366,-0.271792626,0.078981493,-1.634235024
2550,-0.415477476,-0.755099164,0.007021118,0.496951071,-0.447569906,0.451473673,0.788446377,-0.520584213,0.844456943,-0.955767013,-2.052642392
4643,-0.156583145,-0.113569593,-0.114864091,-0.490988322,-0.229206728,0.32918249,-0.044628483,-0.622141105,0.527345791,-0.591446234,-0.42889387
1571,-0.194877382,-0.77104356,0.566409061,-0.890384722,-0.421491792,0.544680198,-0.442918202,-0.570134607,-0.732808392,0.367542173,-1.705039887
608,-0.985892349,0.343579047,-0.936534386,-0.502999033,-0.306943343,-0.010620794,0.735636992,0.338005592,0.542260612,-0.577999578,-0.430219369
2172,0.462807965,0.011710622,0.094354193,-0.247021294,-0.878866571,0.556815385,-0.795730422,0.119348101,-0.210706958,-0.717967535,0.555857808
675,0.362406108,-0.289220136,0.145897753,0.118808722,0.849574435,0.663907394,0.262140805,-0.071530885,-0.598641387,0.3174423,-0.252541605
4175,0.937233484,-0.119087782,-0.55155707,0.135409706,0.545815725,-0.602695428,-0.639926067,-0.253846561,0.110940469,0.973807364,0.752795643
376,0.866114797,0.660712402,-0.560320495,0.42340467,0.71170008,0.87916647,0.902667505,0.653887396,-0.780692098,0.928850391,2.103193706
3009,-0.936230214,-0.987674664,0.970881817,-0.354683629,0.673725366,0.847433386,0.920875868,-0.955230958,0.084647304,0.54363484,-3.039763102
3901,-0.826864288,0.934633112,-0.332425404,0.670443289,0.563378211,0.976292656,0.624744232,0.912654543,-0.271634613,-0.917958362,0.940885143
3740,-0.036486616,0.159162911,0.338640113,0.715429405,0.508408885,-0.039243879,0.697956646,-0.250696108,-0.84510813,-0.366249858,0.270489139
134,-0.783241738,0.363974894,0.428581336,0.748650354,0.758488261,-0.610608753,-0.178549547,-0.356188408,-0.381554451,0.094321525,-0.005045692
1654,-0.053094566,0.377900634,-0.805657384,-0.996338367,-0.9877881,0.520495035,-0.370534669,-0.762973174,0.986969435,-0.850366363,0.642035957
1875,0.985980116,0.851501624,0.672646836,-0.726376512,0.404578579,-0.267189303,-0.673895776,0.17981187,-0.362403688,-0.792549524,2.840282424
4344,-0.255229699,0.662598882,0.922772689,-0.468046903,0.648391188,-0.938546253,-0.255642095,-0.777591828,-0.941883018,0.009013419,1.199935989
533,0.244655023,0.262822327,-0.350693972,0.788673187,-0.034548565,0.348001314,-0.127778333,0.578019401,0.911519876,-0.192789215,0.738815879
4763,0.021360382,0.673747722,0.898532837,-0.042155015,0.090754254,-0.61125784,-0.514417346,0.798680991,0.196363365,-0.939123386,1.505768599
2219,0.495132871,0.795757215,0.402507007,-0.527494516,0.721615919,0.937191788,0.837122299,-0.108887381,-0.471096152,-0.720158636,2.033423354
2876,-0.984057237,0.251155831,-0.770426411,0.03308914,-0.512708177,0.277653334,0.188182218,0.149379408,0.837862529,0.176404962,-0.589122152
2111,0.342591503,-0.649137057,0.025386329,-0.214577962,0.750850651,0.093591287,0.784185607,-0.097381282,0.866116523,0.594733691,-1.058659835
933,-0.11729169,-0.214001865,-0.215108918,0.041107578,0.28933433,-0.343049557,-0.950215943,0.611640414,-0.562792987,0.465446158,-0.460022176
2636,0.220408223,0.655278001,0.309831309,0.01905654,-0.45392478,0.832787071,-0.932898765,-0.315582991,-0.744584123,-0.574178375,1.61927397
3048,-0.244585546,0.579706174,-0.768644807,0.792302657,0.503800592,-0.373735547,-0.503186399,0.028784866,-0.060382773,-0.285575562,0.930678432
4394,0.223781706,0.527458216,-0.102234811,-0.879771135,0.454954546,0.824935321,0.556720393,0.382184526,0.696995977,0.002573933,1.184244576
464,0.487479276,0.038472427,0.910212127,0.555282927,-0.160414957,0.705964434,-0.727092558,-0.48331587,-0.391954742,-0.722086752,0.657223644
2048,-0.741587835,0.906209918,0.618181477,0.580846131,-0.222820864,-0.963943543,0.731221065,0.519229313,0.934647846,-0.819053143,1.083933739
2796,0.767569687,-0.840463781,-0.049071086,-0.355918179,-0.205921256,0.303157063,0.959589951,0.399363765,0.288600172,0.822853376,-1.000628547
4523,-0.681025024,0.630274591,0.213124532,0.99568246,-0.815147806,0.735849453,0.606091424,0.717322517,0.014148735,0.221896554,0.525830852
2036,-0.547569602,0.473727161,-0.770568293,-0.737550779,-0.541826288,0.249514505,0.587973875,0.258979774,-0.911566129,-0.454660505,0.333225745
381,0.742179231,-0.104454265,0.297243432,0.884662281,0.01638917,-0.417685377,0.367788453,-0.521112869,-0.536391639,0.750321709,0.571049716
3936,-0.999490886,0.960746028,0.791730444,-0.691171285,0.022084525,0.607304471,0.181045839,0.385402258,-0.006686298,0.225833457,0.916038825
862,-0.127039359,0.578619121,0.950525324,0.465146715,0.967783455,0.095109993,0.205272673,-0.118480432,-0.812954019,0.260776262,1.079494361
3696,0.204940395,0.266167586,0.998935302,0.599832249,-0.70548646,0.81231141,-0.034897454,-0.436595589,-0.552888414,-0.730791696,0.789055604
567,-0.002283245,0.156934921,-0.537541578,-0.495250639,0.41037082,0.81575536,0.727372945,-0.544974611,-0.452255432,0.473658336,0.189484785
1281,0.117472026,-0.222890225,-0.324615912,-0.842691743,0.725769889,-0.115161809,-0.684388749,0.341466476,0.749150667,0.105384654,-0.321743622
1002,0.714300585,-0.893148559,0.788426847,0.118919585,0.572102283,-0.452079358,0.320759376,0.936148315,0.505656725,-0.841729954,-1.036612795
138,0.495960036,-0.444389355,-0.920140846,0.1008536,-0.121636847,-0.664425981,0.603417663,0.707219393,0.209758331,0.696739716,-0.446702217
3625,-0.455164929,0.919192887,0.630411894,-0.538532726,0.518967759,-0.085028136,0.787450634,0.332612885,-0.714367892,-0.822962542,1.38896259
3222,0.297329148,-0.179475411,0.207898746,-0.400800313,-0.837015332,-0.645081221,-0.700345776,-0.216884063,0.227158916,0.245038018,0.038775537
2886,-0.577002508,0.653968279,-0.640419506,-0.871317202,0.171533479,-0.407191107,0.251559773,0.090217588,-0.87948293,-0.073088435,0.717231022
308,-0.573104195,-0.867193912,0.16322519,0.209974054,-0.477268052,-0.617699296,0.964494727,0.663346573,-0.930140316,-0.904418403,-2.326966994
3528,0.859703493,-0.954144055,0.967376365,-0.321779128,0.867217405,-0.764074019,0.233462769,-0.846143446,0.16666086,0.885532105,-1.000404963
304,0.38001168,0.994536832,-0.900373167,0.95037459,-0.817621291,-0.009349697,0.00094786,0.06006047,0.183503851,-0.902916052,2.362662736
1270,-0.340566892,0.916523547,0.012005872,0.983430282,-0.942285369,-0.171356883,0.181802859,0.980651013,0.414759116,-0.828531467,1.515669588
817,0.104840792,0.721498338,-0.175536495,0.587102018,-0.300018707,-0.139661839,-0.120866037,-0.138109192,0.866015965,-0.607554769,1.552401835
1098,0.08878608,-0.174859195,0.648092609,-0.316731208,-0.016942876,0.602297413,-0.298764867,-0.244883086,-0.989759147,-0.7115129,-0.20802102
1329,0.461888335,0.029775182,0.094746277,0.113060464,0.823566577,0.068069463,-0.395699322,-0.287331474,0.425505486,0.586231858,0.536761848
1965,-0.271909494,-0.439581387,-0.257762096,-0.262406566,0.01682602,-0.82808835,0.032630518,0.602019496,0.16328157,-0.027482642,-1.140806213
3583,-0.192119098,-0.301388051,-0.219142592,-0.685571052,0.554083343,-0.43511424,-0.94685821,-0.033827734,0.855277218,-0.93530518,-0.759529526
3014,-0.411618187,0.501205431,0.055818168,-0.588719982,0.242949255,-0.850942105,-0.211498417,0.036264999,0.064736806,0.40118197,0.643332851
690,-0.290315612,-0.346074981,-0.956524188,-0.577446307,0.620769283,0.163272759,-0.383995304,-0.76882124,0.402664409,-0.625182328,-1.05959685
4178,-0.73424144,0.022823601,0.858658368,0.759789688,-0.76886794,0.120666792,-0.34423741,0.22393947,0.775483582,0.403386443,-0.650232359
502,-0.115120308,0.86147115,-0.696770578,0.701597223,0.308141164,-0.489633391,-0.118063248,0.755569542,-0.537971221,-0.208899751,1.639552176
291,0.081981627,-0.623203853,0.877479194,0.514721866,0.670361509,0.811350316,-0.460877577,0.846034734,-0.726099054,0.88915265,-1.113376393
2929,0.099469283,0.491421699,-0.216565076,-0.816483579,0.055917483,-0.636211879,0.042500054,0.715240863,0.101770014,-0.383989951,1.116005436
2814,-0.848892217,0.446859689,0.639670698,0.260828741,-0.662981885,0.892313805,-0.241880961,-0.978440026,-0.725237598,0.348080879,0.056510681
4214,0.323726437,-0.150280973,-0.366481204,-0.527040142,-0.405856844,0.39921263,0.242752229,0.735882412,-0.430155427,0.743801725,-0.004987217
2831,-0.424964772,0.368481173,0.941550942,-0.201329954,-0.186302124,0.294571069,0.595305193,0.979277981,0.969106303,-0.789059286,0.289642201
1139,0.528016676,-0.559077871,-0.650373399,-0.970626068,0.906800298,-0.279638362,-0.267769842,-0.282825066,-0.487202996,-0.07624819,-0.593509001
949,-0.546434105,0.208457088,-0.893978455,-0.712897061,-0.420874238,0.299432131,0.93859367,0.156791047,0.924268937,0.330376878,-0.294077742
1379,0.029232869,-0.487923502,0.166385024,0.763140937,0.103365528,0.096925199,-0.82802737,0.50428718,0.304833365,0.360458916,-0.894419026
4787,0.900553107,0.158452921,0.49824675,0.219233224,-0.109848354,-0.033039694,0.366191228,0.938171876,0.998972164,0.838915761,1.230440273
4102,-0.601812403,0.868524152,-0.225749453,-0.172578672,-0.014200895,0.134988614,0.360064426,0.387955554,0.104483633,0.07886931,1.092180762
891,-0.033850348,0.508088664,-0.892889003,-0.35651965,-0.201090586,0.070164502,0.406961059,-0.839739041,0.993494325,0.289537894,0.872131171
3774,-0.713968098,0.649063333,-0.066807558,0.866896073,-0.471417341,-0.740127833,0.920151519,0.996072587,-0.059166861,-0.244982707,0.567171201
3682,-0.99770868,0.869924715,-0.29754558,0.963772273,-0.904272951,0.131608839,-0.178109829,0.308338175,-0.748949044,0.52706913,0.761231602
1526,0.032240336,-0.057167908,-0.916781304,-0.486476187,0.260343532,0.484640054,0.151290918,0.816341906,-0.478425546,-0.220618336,-0.148597876
4185,0.020030933,-0.231774595,0.910354686,0.261562004,0.156597126,0.115582971,-0.802256217,-0.009736189,0.042683649,0.497554181,-0.349374897
1835,0.124829841,0.89234654,-0.500361229,0.942167501,0.548148112,-0.608445145,0.957564284,-0.750625244,0.254969525,-0.573539033,1.844063075
113,0.788573422,0.463247484,-0.613659507,-0.793290714,0.918240363,-0.762733637,-0.430431238,-0.522448423,-0.151703265,-0.18138949,1.765830164
4257,-0.308876564,-0.049267167,0.297391411,0.854882133,0.615896669,-0.071439919,0.800842174,-0.575750261,-0.145739688,-0.460495815,-0.463640498
3594,-0.546573728,-0.176584829,-0.206763799,0.832730643,0.58427609,-0.324490606,-0.259782427,0.211883073,-0.055877293,0.837840422,-0.89905026
1465,-0.837902765,0.167574285,-0.370440812,-0.754201965,0.895255373,-0.447848878,0.166193757,-0.63358955,-0.981288819,-0.616747383,-0.524880323
1450,-0.983017502,0.028247044,-0.521405552,0.063637593,-0.480455195,-0.498280254,-0.228041383,-0.18643249,-0.148375213,0.116090049,-0.931564898
2513,0.88449604,0.147065106,0.819812859,0.764950813,0.827818063,-0.044416963,0.647010405,0.602907186,-0.91091176,-0.650902301,1.2314924
4284,0.528392285,-0.823011652,0.52611049,0.629138541,0.682745116,-0.368567007,-0.51245863,-0.992607178,-0.577988963,-0.613558342,-1.037072642
3812,0.831647998,0.341238844,0.288329552,0.968569555,0.082740065,0.633878899,-0.874456697,0.244964356,0.505045504,0.61539312,1.579838223
4371,-0.385782734,0.286755025,-0.466264621,0.847297846,0.092306066,0.767773008,-0.81160099,0.541441242,0.495143198,0.224246407,0.170443288
2587,-0.883558364,0.366089608,0.932103808,0.880587667,0.086369376,-0.614514529,-0.289171921,-0.034744356,-0.351074608,0.103855317,-0.055148802
2027,0.024928312,-0.278415182,0.074636188,0.819283585,-0.859377758,0.123290974,-0.978223374,0.366232353,-0.992192448,0.519180906,-0.42206548
4315,-0.008205849,-0.880434006,-0.149990114,0.688554657,-0.826084111,0.078465939,-0.130754352,-0.984362686,0.297011992,-0.64605287,-1.795218801
1470,0.51918016,-0.098267864,0.1873928,-0.911804258,-0.321292982,0.33350519,0.105557095,0.688889115,0.225486039,-0.098626611,0.325425324
4348,0.789012538,0.310965573,0.679999926,-0.726424588,0.925283979,0.477198482,0.087728966,0.490328575,0.104702556,0.717627365,1.432286236
4544,-0.719970991,0.058601563,-0.543885944,-0.466146493,-0.456822217,0.800336782,0.190377388,-0.54045416,-0.272372903,0.672814734,-0.700488843
3846,-0.728470647,-0.174455711,-0.588531147,0.557832335,-0.310297195,0.588202216,-0.811571077,0.552273021,0.670118262,-0.004121607,-1.110532367
214,-0.955971921,0.8743356,-0.73752187,-0.620059935,0.499335547,0.269081865,-0.6234651,0.996754156,-0.528132085,0.635135759,0.792473855
2465,0.511845835,0.777447404,-0.688294923,-0.628063749,-0.766610159,0.530458699,0.666770822,-0.954970081,0.655409857,-0.569853796,1.964408487
4834,-0.630323375,-0.496375319,-0.301075849,0.454177005,-0.66862053,0.440420378,0.59049775,0.972762378,-0.53179239,-0.596978371,-1.693008219
1351,0.172497834,-0.440850465,0.762264031,0.152572341,0.422060599,0.279342945,-0.297176757,-0.006494319,-0.940423468,0.733872218,-0.644634662
678,0.744523264,0.387036293,0.273604881,0.47353884,-0.489112001,0.301878473,-0.365937536,0.44016428,-0.877632901,-0.325784324,1.613125482
4863,-0.071531753,-0.366114629,0.173047989,-0.972233225,0.73909388,-0.903170839,0.601907344,0.442610533,0.284542653,-0.211386139,-0.817369399
3052,-0.554520955,0.568918876,0.497953174,-0.752861361,-0.175768948,-0.079031491,0.676501574,0.523261657,-0.138764414,-0.662584115,0.574372084
939,-0.752974909,0.510612151,-0.790839028,-0.354678338,-0.795998505,0.500435584,0.464456638,-0.491694817,-0.463248621,-0.669737322,0.175122718
520,0.783680922,0.98183395,-0.828219207,-0.290015924,0.633259845,-0.592415358,-0.135013248,-0.036633826,0.541663096,-0.644162138,2.759215317
3650,-0.305291611,-0.221262753,-0.658053743,-0.433243325,-0.550620084,-0.772748193,-0.330236154,0.304541501,-0.97080471,-0.041348659,-0.695707877
1974,0.92001178,-0.888380421,-0.684874378,-0.919577248,-0.55968594,-0.281588807,0.28749245,-0.03692979,0.179748821,0.531916884,-0.895123216
4467,0.320330408,0.570036784,0.388393094,-0.593452571,-0.712144659,-0.412762174,0.094655553,0.414005223,-0.144251574,0.283935316,1.533040772
2154,0.953582116,0.09706476,0.367534001,-0.27802412,0.060913209,0.400609354,0.325057971,-0.943781495,0.158690568,0.806771723,1.132818671
3288,-0.462752508,-0.637380463,-0.446923232,0.91342233,-0.425964614,-0.122884861,0.166944925,-0.001928391,0.565711576,0.941526646,-1.804445642
2216,0.152976949,-0.781473728,0.632228082,0.663629095,-0.513096504,0.680173544,0.350427904,-0.0394,-0.771910933,0.054226808,-1.416177047
142,-0.415077508,-0.61640663,-0.796661357,-0.146341199,0.487533377,0.157174626,0.77836818,-0.285644309,-0.31680728,0.632853553,-1.783585673
3488,-0.161730518,-0.017523946,0.420176198,-0.362583298,-0.629464482,-0.45156846,-0.977125488,-0.103946621,-0.466656787,0.240645641,-0.065231297
4130,0.104499421,-0.222436821,-0.305498862,-0.527315436,-0.041049931,0.626237294,0.720078476,0.921456211,-0.201529867,-0.184366355,-0.425826067
2329,0.455334813,-0.420325416,-0.184503934,0.432738354,0.683715981,0.522039375,0.061692906,0.97545646,-0.611888773,0.06860898,-0.401508216
1702,0.203650368,0.896552647,-0.431545193,-0.77144534,-0.696998612,0.518101884,-0.400004496,-0.991069006,0.449316207,-0.993935926,1.98603477
4120,-0.789682406,-0.501756835,0.104498773,0.690342925,0.528566747,-0.410779582,-0.342596614,-0.48484428,0.698073151,0.746590453,-1.807810052
3733,-0.796687207,0.265334374,-0.398476014,-0.769663995,0.523270785,-0.833838497,0.314359861,-0.259637332,-0.38683422,0.327107587,-0.287871056
3865,0.956215009,-0.617202639,0.205831988,0.711630096,-0.309492974,-0.654985951,-0.185776135,0.619220208,-0.425807682,-0.419857471,-0.179725328
3443,0.26195871,0.713979417,-0.61985216,-0.789814797,0.855352327,-0.844852908,-0.048350971,0.56622581,-0.607855438,0.069212216,1.733643071
405,0.506995275,0.931144262,0.688027185,0.234685096,-0.182222049,-0.348852457,0.783456125,-0.263778042,-0.583932702,-0.520029406,2.418575451
3655,-0.756044243,0.286859841,0.374523769,-0.427793419,-0.949610151,0.267979689,-0.008963786,-0.967464406,-0.911955682,0.043574028,-0.162850292
4169,0.874321574,-0.717192941,-0.81198364,-0.500086259,0.765732113,0.544869035,0.70656537,0.41196679,0.045949276,-0.163721498,-0.681721306
4150,0.589349686,0.77857378,0.72511651,-0.905927044,0.777697603,0.440262896,-0.083380545,-0.278605867,-0.331035264,0.395913112,2.194364635
298,-0.095714721,0.863116939,0.641035205,-0.182251058,-0.790911577,-0.130441357,-0.74401841,-0.426142259,-0.420482968,0.039004345,1.758949169
735,0.826883476,-0.350638743,-0.539103878,-0.685059504,-0.955438438,0.37835458,0.26091247,0.367862251,-0.027601729,0.600429385,0.089345752
4672,-0.824796629,0.864670186,-0.690704574,0.217357839,-0.660819151,0.709306104,-0.272756139,0.398173739,0.676706009,0.591742983,0.83947527
2370,-0.427141723,-0.608365007,0.142520487,0.150997901,-0.259588676,0.671578781,-0.765336936,-0.963234463,-0.268997898,0.118490667,-1.638386362
42,-0.964009274,-0.941974159,0.535678181,-0.819063168,-0.335376424,-0.983974081,-0.839741384,-0.205892541,-0.558488616,-0.379993602,-2.736661837
4244,0.452193956,0.640149788,-0.184851356,0.123346084,-0.469744519,-0.033066117,-0.256321072,-0.881690575,0.662316328,0.713917247,1.743584261
624,0.307724322,0.752901535,-0.19861706,-0.935978958,-0.101605763,-0.154091146,0.843421566,-0.564048046,0.383294537,0.345286509,1.753211977
4583,-0.348005717,0.564563913,-0.284057887,-0.069418728,0.712746805,-0.424209343,0.406715126,-0.139515929,-0.937366742,-0.855351121,0.776287198
3595,0.08182152,-0.528077231,0.102329887,0.184005667,-0.487989439,-0.400196622,-0.094704049,-0.963175829,-0.463516342,-0.700436309,-0.939384831
666,-0.298874716,0.83150377,-0.279614082,0.081526681,-0.752575455,-0.383054224,-0.316374915,0.531997304,-0.128976504,0.043338468,1.420588742
1793,0.869395673,0.814863581,0.727056061,0.339328642,-0.449323586,-0.295684867,0.925406829,-0.615354241,-0.525723029,0.671655145,2.540088648
3001,0.320624823,-0.798251712,0.818224548,-0.088141,0.678193781,-0.627986375,-0.631045051,0.912807226,-0.480920913,0.394826428,-1.147010852
4995,0.169274058,0.516945876,-0.057659844,0.406150621,-0.024025216,0.471413659,0.105077843,0.441252107,-0.416221908,-0.031536484,1.202656356
4612,-0.145802012,0.364494621,-0.462441623,0.426197455,0.151450889,0.497242683,-0.201846854,-0.811933791,-0.509524483,-0.818568776,0.556898225
4445,0.749188904,-0.05315798,0.567506637,0.991123424,0.999009958,0.528921773,0.460440998,-0.640785638,0.958477004,-0.889677371,0.58900256
1109,0.067876025,0.714326922,0.325751956,-0.606276528,-0.660298344,0.790905779,-0.065120605,-0.922861164,0.141532177,0.339064736,1.487742356
2247,-0.208361452,-0.093421032,-0.006605923,-0.465079361,-0.190387165,-0.404560354,-0.182789619,0.415390527,0.870587558,-0.335290468,-0.387121746
4248,-0.223981856,0.996845471,-0.093726542,0.393447448,-0.364102721,-0.547388635,0.34344391,-0.871876219,-0.717671765,0.82039715,1.79499121
4137,-0.616221872,-0.932100725,-0.392268655,0.154794455,0.539866284,0.847885734,0.582348589,0.341089816,-0.042140212,0.78324725,-2.626965262
562,0.861498407,0.796630243,0.364282264,0.643338233,-0.982675203,-0.7906436,-0.511035371,-0.204831568,0.629330169,0.017728212,2.586543806
2452,0.358369033,-0.023865233,-0.225796604,-0.902718978,0.21760845,-0.867006162,-0.101443803,-0.552451296,0.911912617,0.806711555,0.318194358
2707,-0.281576191,-0.019544829,-0.519737789,0.171150681,-0.931081597,0.607619648,0.695925009,-0.490313192,0.579294371,0.02034728,-0.4475067
3830,-0.279649222,0.705854514,-0.279067738,-0.259279047,0.980301896,-0.280468,-0.719567577,-0.488146076,-0.265927864,0.582724777,1.175476822
2782,-0.160862887,0.49744192,-0.521274242,0.96687121,-0.374950081,0.94645426,-0.005155669,-0.276640988,-0.749867034,0.114114381,0.789578827
4170,0.7223425,-0.293430446,0.241324066,0.349547763,-0.261999047,0.419103523,-0.221177846,0.31884411,-0.503613629,-0.348151917,0.181677469
1680,0.827806076,0.829478717,-0.398535969,0.096768592,-0.884568758,0.410689604,-0.176704852,0.147564117,0.47838866,-0.583223996,2.499456021
1122,-0.322901827,-0.491028867,0.003624718,0.58637541,-0.790436488,0.153092768,-0.90302781,0.100720964,-0.661615111,-0.908286074,-1.23031501
49,-0.704881378,-0.078345935,0.746835002,0.375667608,-0.80016619,-0.833600818,0.876585741,-0.798201148,0.896072316,0.864496172,-0.88931415
1091,-0.229578025,0.442884353,-0.324444375,-0.936062719,-0.512031695,0.710290788,-0.107730218,0.62275745,-0.792399135,-0.216926496,0.6492368
137,-0.314725708,-0.79030689,-0.969416265,0.938554397,-0.55931666,-0.702446095,0.892951686,0.578246875,0.914006832,-0.538739393,-2.010823389
3098,-0.117681672,0.263354364,-0.39191084,-0.962587986,-0.824858134,0.807091428,0.617227688,0.231721293,0.963001358,0.200717113,0.288278007
302,0.73336945,0.186689307,-0.901259789,0.807722054,0.303866133,-0.551239252,0.488510887,0.532246208,-0.285568886,0.729744151,1.083708378
3362,-0.338787337,0.382095736,-0.387906116,-0.525479574,0.570038057,-0.704607728,-0.953484967,0.110372225,-0.711160804,0.182048006,0.519182262
