machine_name,operational_setting_1,operational_setting_2,sensor_measurement_01,sensor_measurement_02,sensor_measurement_03,sensor_measurement_04,sensor_measurement_05,sensor_measurement_06,sensor_measurement_07,sensor_measurement_08,sensor_measurement_09,sensor_measurement_10,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,operational_setting_3,sensor_measurement_16,status,cycle,label
21,0.0022,0,518.67,643.87,1606.47,1432.84,14.62,21.61,551.79,2388.18,9161.51,1.3,48.04,2388.19,8224.87,8.5197,399,2388,100,38.44,22.986,100,0.03,TRUE,195,1
22,0.0017,-0.0001,518.67,643.64,1609.56,1429.98,14.62,21.61,551.02,2388.3,9053.41,1.3,48.16,2388.3,8130.05,8.5361,398,2388,100,38.43,22.9965,100,0.03,FALSE,202,0
23,-0.0007,0.0002,518.67,643.32,1604.16,1431.69,14.62,21.61,551.26,2388.26,9059.37,1.3,48.19,2388.36,8127.93,8.5169,397,2388,100,38.32,22.9071,100,0.03,TRUE,168,1
24,-0.0006,0.0004,518.67,643.79,1601.33,1430.87,14.62,21.61,550.78,2388.3,9043.96,1.3,48.19,2388.28,8119.58,8.5374,398,2388,100,38.58,23.0309,100,0.03,TRUE,147,1
25,-0.0046,0.0001,518.67,643.67,1608.49,1432.58,14.62,21.61,552.18,2388.14,9152.46,1.3,48.12,2388.19,8209.41,8.4974,398,2388,100,38.38,23.0349,100,0.03,FALSE,230,0
26,-0.0005,0.0003,518.67,643.51,1599.25,1432.5,14.62,21.61,551.79,2388.19,9159.51,1.3,48.05,2388.2,8222.42,8.5347,398,2388,100,38.27,22.9867,100,0.03,TRUE,199,1
27,0.0003,0.0004,518.67,643.76,1606.45,1429.06,14.62,21.61,551.51,2388.17,9141.14,1.3,48.26,2388.15,8210.07,8.5259,397,2388,100,38.65,23.0772,100,0.03,TRUE,156,1
28,-0.0036,-0.0004,518.67,644.01,1600.61,1431.57,14.62,21.61,551.78,2388.19,9087.32,1.3,48.04,2388.2,8166.05,8.5311,396,2388,100,38.37,23.1508,100,0.03,TRUE,165,1
29,-0.0018,-0.0003,518.67,643.98,1598.93,1436.41,14.62,21.61,551.64,2388.23,9042.66,1.3,48.17,2388.26,8121.38,8.5641,396,2388,100,38.29,23.0583,100,0.03,TRUE,163,1
30,0.0003,0.0005,518.67,643.34,1604.03,1441.49,14.62,21.61,551.1,2388.32,9050,1.3,48.17,2388.3,8118.21,8.5298,396,2388,100,38.24,23.1925,100,0.03,TRUE,194,1
31,0.0023,-0.0001,518.67,643.5,1599.79,1425.76,14.62,21.61,550.86,2388.34,9042.46,1.3,48.32,2388.35,8116.96,8.4871,397,2388,100,38.46,23.0314,100,0.03,FALSE,234,0
32,0.0013,-0.0003,518.67,643.35,1605.39,1435.15,14.62,21.61,551.45,2388.18,9089.9,1.3,48.53,2388.21,8156.17,8.5372,396,2388,100,38.3,23.1225,100,0.03,TRUE,191,1
33,-0.0013,-0.0003,518.67,643.93,1605.51,1433.49,14.62,21.61,551.28,2388.23,9050.89,1.3,48.28,2388.31,8127.7,8.5146,397,2388,100,38.42,22.9862,100,0.03,TRUE,200,1
34,0.004,0.0006,518.67,643.94,1597.74,1434.09,14.62,21.61,551.46,2388.17,9162.57,1.3,48.33,2388.14,8230.84,8.5014,397,2388,100,38.36,22.9984,100,0.03,TRUE,195,1
35,0.0003,0.0002,518.67,643.91,1600.31,1431.5,14.62,21.61,551.16,2388.24,9098.3,1.3,48.08,2388.25,8166.97,8.5153,396,2388,100,38.44,23.0205,100,0.03,TRUE,181,1
36,-0.0005,-0.0001,518.67,643.31,1606.6,1432.33,14.62,21.61,551.7,2388.28,9051.21,1.3,48.26,2388.31,8124.67,8.5327,396,2388,100,38.39,22.9915,100,0.03,TRUE,158,1
37,0.0024,-0.0005,518.67,643.85,1603.36,1425.87,14.62,21.61,551.28,2388.29,9038.73,1.3,48.4,2388.27,8116.79,8.5559,396,2388,100,38.37,23.1615,100,0.03,TRUE,170,1
38,-0.0017,0.0004,518.67,643.95,1606.9,1426.16,14.62,21.61,551.67,2388.26,9156.77,1.3,48.52,2388.16,8217.94,8.5574,397,2388,100,38.35,23.001,100,0.03,TRUE,194,1
39,-0.0029,0.0002,518.67,643.66,1604.19,1428.14,14.62,21.61,550.68,2388.3,9036.1,1.3,48.27,2388.31,8106.63,8.5148,395,2388,100,38.5,23.0281,100,0.03,TRUE,128,1
40,0.0002,-0.0003,518.67,643.87,1611.92,1432.96,14.62,21.61,551.08,2388.23,9142.42,1.3,48.03,2388.25,8202.76,8.535,397,2388,100,38.37,23.1022,100,0.03,TRUE,188,1
41,-0.0024,-0.0001,518.67,643.51,1603.91,1428.74,14.62,21.61,551.53,2388.16,9152.86,1.3,48.34,2388.17,8214.55,8.4999,398,2388,100,38.25,23.1237,100,0.03,FALSE,216,0
42,-0.0019,0.0003,518.67,643.34,1597.41,1427.68,14.62,21.61,551.04,2388.29,9066.91,1.3,47.97,2388.26,8133.97,8.5161,395,2388,100,38.43,22.995,100,0.03,TRUE,196,1
43,0.0003,0,518.67,643.99,1599.57,1427.53,14.62,21.61,550.73,2388.37,9035,1.3,48.03,2388.3,8113.24,8.4916,397,2388,100,38.44,22.9936,100,0.03,FALSE,207,0
44,0.0015,-0.0003,518.67,643.95,1608.5,1438.96,14.62,21.61,552.03,2388.17,9079.75,1.3,48.05,2388.23,8155.1,8.5266,396,2388,100,38.39,22.9435,100,0.03,TRUE,192,1
45,0.0012,-0.0001,518.67,643.7,1598.55,1437.88,14.62,21.61,551.59,2388.23,9095.15,1.3,48.29,2388.23,8160.09,8.5497,396,2388,100,38.22,23.0342,100,0.03,TRUE,158,1
46,0.0023,0.0002,518.67,644.44,1602.57,1433.99,14.62,21.61,550.75,2388.25,9041.98,1.3,48.22,2388.32,8118.01,8.5052,397,2388,100,38.38,23.017,100,0.03,FALSE,256,0
47,0.0032,-0.0001,518.67,643.5,1602.64,1433.3,14.62,21.61,551.7,2388.21,9107.27,1.3,48.28,2388.22,8176.36,8.5238,395,2388,100,38.48,23.1299,100,0.03,FALSE,214,0
48,-0.0025,-0.0005,518.67,644.02,1609.54,1435.19,14.62,21.61,551.65,2388.52,9228.53,1.3,47.98,2388.55,8290.25,8.4923,398,2388,100,38.45,23.0188,100,0.03,FALSE,231,0
49,0.0026,-0.0005,518.67,644.2,1593.84,1433.24,14.62,21.61,550.72,2388.26,9058.19,1.3,48.26,2388.3,8138.39,8.5046,396,2388,100,38.46,23.0171,100,0.03,FALSE,215,0
50,0.0039,0.0001,518.67,643.83,1608.2,1433.88,14.62,21.61,552.06,2388.2,9128.91,1.3,48.01,2388.25,8200.2,8.5002,396,2388,100,38.43,23.1086,100,0.03,TRUE,198,1
51,0.0014,0.0004,518.67,644.11,1606.6,1428.55,14.62,21.61,551.6,2388.56,9244.59,1.3,47.89,2388.54,8293.72,8.5306,397,2388,100,38.39,23.0958,100,0.03,FALSE,213,0
52,-0.0017,-0.0005,518.67,643.67,1601.99,1436.34,14.62,21.61,552.28,2388.18,9119.4,1.3,48.18,2388.21,8181.73,8.5159,397,2388,100,38.35,23.015,100,0.03,FALSE,213,0
53,-0.0001,-0.0004,518.67,644.18,1612.63,1423.19,14.62,21.61,552.53,2388.14,9162.47,1.3,48.18,2388.17,8230.96,8.5196,396,2388,100,38.32,23.0419,100,0.03,TRUE,195,1
54,-0.0009,-0.0003,518.67,643.8,1601.79,1433.26,14.62,21.61,551.37,2388.16,9155.85,1.3,48.15,2388.15,8220.23,8.5295,395,2388,100,38.3,23.05,100,0.03,FALSE,257,0
55,0.0033,0,518.67,644.01,1605.12,1433.56,14.62,21.61,551.8,2388.14,9202.75,1.3,48.19,2388.16,8257.58,8.531,397,2388,100,38.49,23.1604,100,0.03,TRUE,193,1
56,-0.0058,0.0001,518.67,644.09,1600.47,1427.24,14.62,21.61,551.44,2388.16,9145.5,1.3,48.16,2388.19,8217.25,8.5243,396,2388,100,38.27,23.0597,100,0.03,FALSE,275,0
57,-0.0004,-0.0003,518.67,644.15,1596.45,1432.49,14.62,21.61,550.95,2388.32,9036.5,1.3,48.26,2388.28,8108.28,8.5533,394,2388,100,38.24,23.0412,100,0.03,TRUE,137,1
58,-0.0028,0.0002,518.67,643.75,1593.77,1438.22,14.62,21.61,551.29,2388.28,9047.79,1.3,48.33,2388.33,8119.76,8.519,395,2388,100,38.29,23.185,100,0.03,TRUE,147,1
59,0.002,-0.0004,518.67,643.47,1599.56,1425.87,14.62,21.61,550.88,2388.28,9063.69,1.3,48.14,2388.24,8141.32,8.5155,395,2388,100,38.44,23.0258,100,0.03,FALSE,231,0
60,-0.0005,0.0004,518.67,643.62,1605.19,1434.09,14.62,21.61,551.21,2388.18,9141.47,1.3,48.04,2388.22,8205.47,8.5322,396,2388,100,38.23,22.954,100,0.03,TRUE,172,1
61,-0.0049,0,518.67,643.39,1604.83,1426,14.62,21.61,551.12,2388.26,9038.93,1.3,48.23,2388.27,8109.39,8.519,397,2388,100,38.34,22.984,100,0.03,TRUE,185,1
62,-0.0026,-0.0002,518.67,643.49,1595.1,1427.51,14.62,21.61,551.09,2388.28,9037.02,1.3,48.16,2388.31,8123.28,8.5442,396,2388,100,38.35,23.0042,100,0.03,TRUE,180,1
63,-0.0007,-0.0003,518.67,643.43,1603.87,1424.72,14.62,21.61,551.7,2388.16,9175.01,1.3,48.21,2388.16,8239.45,8.5265,397,2388,100,38.31,23.2228,100,0.03,TRUE,174,1
64,0.002,-0.0001,518.67,643.88,1605.47,1425.77,14.62,21.61,550.6,2388.17,9111.28,1.3,48.15,2388.22,8181.59,8.5458,397,2388,100,38.45,23.1041,100,0.03,FALSE,283,0
65,0.0021,-0.0001,518.67,643.95,1592.45,1432.83,14.62,21.61,551.19,2388.28,9030.23,1.3,48.08,2388.34,8109.49,8.5197,396,2388,100,38.37,23.1362,100,0.03,TRUE,153,1
66,-0.0038,0.0004,518.67,643.88,1607.66,1429.38,14.62,21.61,551.53,2388.23,9071.25,1.3,48.19,2388.25,8147.9,8.5382,396,2388,100,38.38,23.1412,100,0.03,FALSE,202,0
67,0.0009,-0.0003,518.67,643.57,1599.78,1424.96,14.62,21.61,551.3,2388.29,9074.14,1.3,48.28,2388.21,8146.04,8.5668,397,2388,100,38.45,23.1288,100,0.03,FALSE,313,0
68,-0.0037,-0.0004,518.67,643.88,1609.59,1430.17,14.62,21.61,551.47,2388.2,9158.41,1.3,48.16,2388.14,8226.34,8.5196,395,2388,100,38.4,23.0888,100,0.03,TRUE,199,1
69,0.0007,0,518.67,643.75,1598.16,1428.28,14.62,21.61,551.55,2388.31,9054.19,1.3,48.02,2388.33,8124.27,8.5126,397,2388,100,38.42,22.9782,100,0.03,FALSE,362,0
70,0.0014,0,518.67,643.39,1602.76,1434.81,14.62,21.61,551.64,2388.17,9106.12,1.3,48.16,2388.25,8173.73,8.5312,396,2388,100,38.49,23.1398,100,0.03,TRUE,137,1
71,0.0012,0.0002,518.67,643.57,1599.94,1437.81,14.62,21.61,551.45,2388.18,9153.73,1.3,48.02,2388.19,8225.07,8.5197,397,2388,100,38.25,22.9967,100,0.03,FALSE,208,0
72,0.0007,-0.0003,518.67,643.91,1597.72,1427.84,14.62,21.61,550.89,2388.32,9033.07,1.3,48.17,2388.36,8103.27,8.5519,395,2388,100,38.46,23.1649,100,0.03,FALSE,213,0
73,-0.0014,0.0002,518.67,643.54,1599.16,1428.84,14.62,21.61,551.62,2388.28,9041.6,1.3,48.12,2388.35,8114.48,8.5434,396,2388,100,38.54,23.0257,100,0.03,FALSE,213,0
74,0.0011,0.0003,518.67,643.29,1604.39,1431.14,14.62,21.61,550.35,2388.3,9056.35,1.3,48.07,2388.25,8123.87,8.5309,398,2388,100,38.36,22.9906,100,0.03,TRUE,166,1
75,0.0003,0.0001,518.67,643.7,1600.8,1433.1,14.62,21.61,552.04,2388.31,9026.08,1.3,48.22,2388.3,8104.78,8.5097,395,2388,100,38.57,23.0341,100,0.03,FALSE,229,0
76,-0.003,0.0003,518.67,643.67,1598.61,1432.07,14.62,21.61,550.94,2388.27,9056.85,1.3,48.24,2388.28,8131.33,8.5253,396,2388,100,38.5,23.0671,100,0.03,FALSE,210,0
77,0.0009,-0.0004,518.67,643.49,1601.95,1423.58,14.62,21.61,551.86,2388.27,9074.92,1.3,48.08,2388.24,8148.51,8.5105,399,2388,100,38.29,23.0154,100,0.03,TRUE,154,1
78,-0.001,0.0001,518.67,643.23,1596.6,1428.33,14.62,21.61,551.6,2388.24,9090.13,1.3,48.22,2388.21,8160.8,8.5254,396,2388,100,38.25,23.126,100,0.03,FALSE,231,0
79,-0.0023,-0.0004,518.67,643.57,1598.35,1436.93,14.62,21.61,551,2388.26,9095.97,1.3,48.2,2388.21,8165.3,8.5273,397,2388,100,38.4,23.1076,100,0.03,TRUE,199,1
80,0.0015,0,518.67,643.88,1606.38,1421.41,14.62,21.61,551.55,2388.22,9170.57,1.3,48.05,2388.18,8229.73,8.525,397,2388,100,38.35,23.0323,100,0.03,TRUE,185,1
81,-0.0026,-0.0003,518.67,644.01,1601.01,1423.61,14.62,21.61,550.75,2388.28,9061.24,1.3,48.12,2388.22,8129.61,8.4922,397,2388,100,38.37,23.0289,100,0.03,FALSE,240,0
82,-0.0013,0.0003,518.67,643.73,1601.66,1427.73,14.62,21.61,551.57,2388.16,9215.59,1.3,48.3,2388.16,8267.9,8.5222,399,2388,100,38.56,23.0292,100,0.03,FALSE,214,0
83,-0.0002,-0.0005,518.67,643.77,1605.59,1430.64,14.62,21.61,551.68,2388.25,9045.98,1.3,48.21,2388.31,8115.28,8.5123,397,2388,100,38.42,22.9926,100,0.03,FALSE,293,0
84,-0.0023,0.0001,518.67,643.68,1606.08,1430.13,14.62,21.61,550.64,2388.25,9079.24,1.3,48.17,2388.23,8149.66,8.5367,396,2388,100,38.49,23.1018,100,0.03,FALSE,267,0
85,-0.0014,0,518.67,643.64,1603.1,1434.88,14.62,21.61,551.23,2388.28,9050.97,1.3,48.17,2388.3,8124.14,8.4977,396,2388,100,38.61,22.9752,100,0.03,TRUE,188,1
86,-0.0002,-0.0005,518.67,643.15,1600.16,1425.47,14.62,21.61,551.62,2388.23,9078.73,1.3,48.16,2388.22,8151.89,8.4919,398,2388,100,38.51,22.9947,100,0.03,FALSE,278,0
87,0.001,0.0001,518.67,643.44,1597.69,1433.25,14.62,21.61,551.24,2388.32,9050.62,1.3,48.11,2388.31,8121.08,8.5082,397,2388,100,38.61,23.074,100,0.03,TRUE,178,1
88,-0.0019,0.0003,518.67,643.65,1602.86,1431.92,14.62,21.61,551.76,2388.13,9149.8,1.3,48.4,2388.19,8212.51,8.5067,397,2388,100,38.45,22.9829,100,0.03,FALSE,213,0
89,0.006,-0.0002,518.67,643.18,1603.61,1431.32,14.62,21.61,551.03,2388.17,9081.82,1.3,48.39,2388.22,8154.8,8.4936,397,2388,100,38.19,23.09,100,0.03,FALSE,217,0
90,-0.001,-0.0002,518.67,643.6,1598.79,1434.02,14.62,21.61,550.77,2388.32,9032.34,1.3,48.4,2388.34,8110.86,8.5637,395,2388,100,38.44,23.0727,100,0.03,TRUE,154,1
91,0.0016,-0.0001,518.67,644.04,1607.23,1432.29,14.62,21.61,550.69,2388.27,9047.27,1.3,48.31,2388.26,8115.44,8.5228,396,2388,100,38.53,23.0902,100,0.03,TRUE,135,1
92,0,-0.0004,518.67,644.04,1607.05,1428.06,14.62,21.61,551.34,2388.23,9143.56,1.3,48.01,2388.15,8201.66,8.5403,397,2388,100,38.26,23.0719,100,0.03,FALSE,341,0
93,0.0047,0.0003,518.67,643.45,1603.62,1428.64,14.62,21.61,550.75,2388.21,9068.93,1.3,48.2,2388.26,8137,8.488,396,2388,100,38.44,23.1179,100,0.03,TRUE,155,1
94,0.003,0.0004,518.67,644.07,1600.69,1425.25,14.62,21.61,551.27,2388.15,9153.46,1.3,48.26,2388.19,8217.94,8.5335,396,2388,100,38.3,22.9862,100,0.03,FALSE,258,0
95,0.0019,0.0003,518.67,643.43,1609.16,1430.97,14.62,21.61,551.48,2388.21,9120.46,1.3,48.16,2388.2,8183.58,8.5648,396,2388,100,38.37,23.1041,100,0.03,FALSE,283,0
96,-0.0031,-0.0005,518.67,643.74,1599.2,1432.12,14.62,21.61,550.78,2388.28,9075.64,1.3,48.17,2388.24,8144.03,8.5022,397,2388,100,38.36,23.0258,100,0.03,FALSE,336,0
97,0.0014,0.0001,518.67,643.79,1610.66,1427.41,14.62,21.61,551.55,2388.15,9208.02,1.3,47.94,2388.15,8263.63,8.5277,397,2388,100,38.29,23.1184,100,0.03,FALSE,202,0
98,0.0077,-0.0003,518.67,643.02,1603.77,1432.16,14.62,21.61,551.52,2388.24,9058.54,1.3,48.29,2388.26,8122.22,8.5308,396,2388,100,38.33,23.1137,100,0.03,TRUE,156,1
99,-0.0019,-0.0004,518.67,643.93,1598.42,1421.56,14.62,21.61,550.64,2388.29,9050.61,1.3,48.29,2388.24,8127.53,8.5425,397,2388,100,38.49,23.1931,100,0.03,TRUE,185,1
100,-0.0032,-0.0005,518.67,643.85,1600.38,1432.14,14.62,21.61,550.79,2388.26,9061.48,1.3,48.2,2388.26,8137.33,8.5036,396,2388,100,38.37,23.0522,100,0.03,TRUE,200,1
101,42.0017,0.8414,445,550.49,1366.01,1149.81,3.91,5.71,137.76,2211.38,8307.72,1.02,42.77,2387.4,8066.19,9.4765,332,2212,100,10.45,6.2285,100,0.02,TRUE,149,1
102,42.0047,0.8411,445,550.11,1368.75,1146.65,3.91,5.72,138.61,2212.32,8358.8,1.02,42.64,2388.42,8110.26,9.4315,334,2212,100,10.56,6.2615,100,0.02,FALSE,269,0
103,42.0073,0.84,445,550.8,1356.97,1144.89,3.91,5.72,138.08,2211.81,8329.26,1.02,42.85,2387.87,8082.25,9.4962,333,2212,100,10.46,6.3349,100,0.02,FALSE,206,0
104,0.003,0.0007,518.67,643.68,1605.86,1428.21,14.62,21.61,551.49,2388.17,9150.14,1.3,48.25,2388.17,8215.14,8.5784,397,2388,100,38.47,22.9717,100,0.03,FALSE,235,0
105,42.0049,0.8408,445,550.53,1364.82,1146.87,3.91,5.72,138.48,2212.99,8397.52,1.02,42.67,2389.19,8151.36,9.4339,333,2212,100,10.74,6.3906,100,0.02,TRUE,154,1
106,42.0012,0.8404,445,550.82,1366.97,1145.99,3.91,5.71,138.54,2211.5,8309.3,1.02,42.82,2387.53,8065.96,9.4641,334,2212,100,10.54,6.2313,100,0.02,TRUE,175,1
107,42.0018,0.84,445,550.58,1365.23,1145.93,3.91,5.72,138.5,2213.32,8417.02,1.03,42.65,2389.46,8171.96,9.3839,334,2212,100,10.58,6.3148,100,0.02,TRUE,174,1
108,25.0067,0.62,462.54,536.62,1273.68,1061.95,7.05,9.03,174.43,1915.39,8026.33,0.94,37.31,2028.3,7882.01,11.0393,309,1915,84.93,14.11,8.5292,60,0.02,TRUE,151,1
109,10.0047,0.2519,489.05,605.75,1515.93,1332.19,10.52,15.5,392.76,2319.18,8763.89,1.26,46.18,2388.42,8102.98,8.7351,373,2319,100,28.34,16.9781,100,0.03,TRUE,199,1
110,0.0014,0,518.67,644.15,1599.71,1424.97,14.62,21.61,551.13,2388.35,9040,1.3,48.24,2388.29,8121.02,8.5051,397,2388,100,38.41,23.0792,100,0.03,TRUE,184,1
111,42.005,0.84,445,550.91,1369.53,1144.57,3.91,5.72,138.81,2213.23,8403.85,1.03,42.83,2389.4,8167.76,9.3928,334,2212,100,10.66,6.3151,100,0.02,FALSE,271,0
112,10.0047,0.25,489.05,606.11,1518,1326.77,10.52,15.5,393.48,2319.18,8782.27,1.26,46.25,2388.43,8132.04,8.7354,373,2319,100,28.38,16.9673,100,0.03,FALSE,249,0
113,35.0009,0.84,449.44,556.83,1378.79,1146.18,5.48,8,193.81,2222.88,8343.04,1.02,42.67,2387.9,8055.61,9.4394,338,2223,100,14.68,8.8415,100,0.02,FALSE,227,0
114,42.0021,0.84,445,550.64,1371.16,1146.4,3.91,5.72,138.17,2211.19,8297.05,1.02,42.68,2387.28,8055.88,9.4741,335,2212,100,10.39,6.2488,100,0.02,TRUE,193,1
115,0.0006,0.0005,518.67,643.71,1604.63,1428.28,14.62,21.61,551.69,2388.21,9115.63,1.3,47.96,2388.18,8181.46,8.5159,395,2388,100,38.28,23.0112,100,0.03,FALSE,209,0
116,25.0042,0.6207,462.54,537.68,1275.89,1061.69,7.05,9.03,175.05,1914.98,7992.67,0.94,37.44,2027.84,7863.46,10.984,311,1915,84.93,14.18,8.3515,60,0.02,TRUE,154,1
117,42.0012,0.8415,445,550.75,1359.75,1145.64,3.91,5.72,138.8,2212.14,8347.8,1.02,42.62,2388.22,8100.8,9.4509,336,2212,100,10.35,6.3896,100,0.02,TRUE,180,1
118,10.003,0.25,489.05,606.07,1512.58,1330.94,10.52,15.5,393.35,2319.19,8770.65,1.26,46.08,2388.33,8113.83,8.7574,373,2319,100,28.27,16.9827,100,0.03,FALSE,209,0
119,41.9997,0.84,445,550.77,1367.76,1149.55,3.91,5.72,138.43,2214.17,8468.91,1.03,42.8,2390.39,8220.01,9.3576,335,2212,100,10.42,6.261,100,0.02,TRUE,163,1
120,0.0003,0,518.67,643.45,1604.31,1434.86,14.62,21.61,551.48,2388.3,9056.11,1.3,48.21,2388.28,8126.28,8.5009,395,2388,100,38.36,23.0769,100,0.03,TRUE,154,1
121,35.0016,0.84,449.44,557.15,1384.22,1142.55,5.48,8,193.63,2223.68,8402.62,1.02,42.34,2388.85,8115.27,9.4295,338,2223,100,14.67,8.7903,100,0.02,TRUE,189,1
122,42.0035,0.84,445,550.58,1370.05,1145.64,3.91,5.72,137.39,2211.6,8326.42,1.02,43.03,2387.7,8079.04,9.5133,335,2212,100,10.57,6.2123,100,0.02,TRUE,192,1
123,42.0047,0.8413,445,550.96,1372.34,1140.33,3.91,5.72,138.91,2213.69,8441.89,1.03,42.62,2389.92,8190.63,9.3907,333,2212,100,10.45,6.3169,100,0.02,FALSE,211,0
124,42.0007,0.842,445,550.46,1367.35,1143.16,3.91,5.72,138.7,2213.64,8443.05,1.03,42.58,2389.89,8188.59,9.3625,335,2212,100,10.47,6.2346,100,0.02,TRUE,191,1
125,10.0059,0.2513,489.05,605.96,1507.75,1324.06,10.52,15.5,392.64,2319.26,8789.87,1.26,46.08,2388.38,8129.19,8.7758,374,2319,100,28.43,16.9631,100,0.03,FALSE,205,0
126,25.005,0.6202,462.54,537.29,1267.81,1067.5,7.05,9.03,175.31,1915.24,8006.39,0.94,37.43,2028.14,7876.17,11.0038,311,1915,84.93,14.09,8.4533,60,0.02,TRUE,187,1
127,42.0017,0.842,445,550.68,1372.68,1138.67,3.91,5.72,137.86,2213.46,8423.65,1.03,42.73,2389.68,8179.15,9.4037,334,2212,100,10.39,6.1912,100,0.02,TRUE,176,1
