hr,operational_setting_1,operational_setting_2,sensor_measurement_01,sensor_measurement_02,sensor_measurement_03,sensor_measurement_04,sensor_measurement_05,sensor_measurement_06,sensor_measurement_07,sensor_measurement_08,sensor_measurement_09,sensor_measurement_10,sensor_measurement_11,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_18,sensor_measurement_19,sensor_measurement_20,sensor_measurement_21,operational_setting_3,sensor_measurement_16,t,e
11,0.000142811,0.000712166,1,0.985344271,0.959137571,0.976184874,1,1,0.956710156,0.999050372,0.929232557,0.948717949,0.970253718,0.993853024,0.829433553,0.11678934,0.97826087,1,1,0.945644835,0.949922199,1,1,240,0
12,0.000142811,0.000474777,1,0.983408609,0.967859083,0.98287716,1,1,0.95456641,0.999324709,0.845452881,0.948717949,0.960629921,0.994211368,0.614125034,0.119510238,0.956521739,1,1,0.957798785,0.947369894,1,1,170,1
13,0.00013329,0.000118694,1,0.992165177,0.993966429,0.970799676,1,1,0.954312849,0.998965961,0.927362297,0.948717949,0.97287839,0.993853024,0.814888427,0.128719433,0.97826087,1,1,0.954085078,0.954024919,1,1,163,1
14,0.000164232,0.000356083,1,0.985067748,0.956935747,0.963689122,1,1,0.95500438,0.99902927,0.908596032,0.948717949,0.981627297,0.994045978,0.779700063,0.120347438,0.97826087,1,1,0.948345712,0.945813883,1,1,180,1
15,0.00013329,0.000712166,1,0.986542538,0.960738898,0.979687868,1,1,0.955695911,0.999345812,0.837120278,0.948717949,0.979877515,0.994266498,0.613040925,0.125370635,0.967391304,1,1,0.95070898,0.948897919,1,1,207,0
16,0.000166612,0.000356083,1,0.986173841,0.967029825,0.969126604,1,1,0.954727767,0.999176989,0.853841195,0.948717949,0.978127734,0.994128673,0.635310326,0.121079987,0.97826087,1,1,0.948008103,0.955222711,1,1,209,0
17,0.000123769,0.000118694,1,0.989492119,0.96231163,0.976394008,1,1,0.955511502,0.998944858,0.942825763,0.948717949,0.95888014,0.993742764,0.874740266,0.118045139,0.97826087,1,1,0.953072248,0.949692716,1,1,276,0
18,6.90E-05,0.000474777,1,0.989123422,0.965685854,0.964943926,1,1,0.955327094,0.999577943,0.984035145,0.948717949,0.954505687,0.994487017,0.974658957,0.11668469,0.989130435,1,1,0.953072248,0.948500521,1,1,195,1
19,0.000116629,0.001068249,1,0.983685132,0.97878242,0.980341411,1,1,0.953967083,0.999282504,0.846638706,0.948717949,0.973753281,0.994321627,0.601183485,0.124045069,0.967391304,1,1,0.945644835,0.943468673,1,1,158,1
20,0.000164232,0.000118694,1,0.988478201,0.958336908,0.972394322,1,1,0.956041676,0.999282504,0.861576907,0.948717949,0.966754156,0.994101108,0.660267413,0.127184568,0.97826087,1,1,0.955435517,0.946597486,1,1,234,0
21,0.000190414,0.000593472,1,0.988570375,0.981327386,0.977387394,1,1,0.956156931,0.99902927,0.933880351,0.948717949,0.957130359,0.993935719,0.844498148,0.118952105,1,1,1,0.95104659,0.946015381,1,1,195,1
22,0.000178513,0.000474777,1,0.986450364,0.990163278,0.969910857,1,1,0.954382002,0.999282504,0.847848406,0.948717949,0.967629046,0.994238933,0.630341494,0.124672969,0.989130435,1,1,0.95070898,0.946603083,1,1,202,0
23,0.000121389,0.000830861,1,0.983500783,0.974721912,0.974381094,1,1,0.954935227,0.999198092,0.852591702,0.948717949,0.970253718,0.994404322,0.625553347,0.117975372,0.97826087,1,1,0.946995273,0.941599221,1,1,168,1
24,0.000123769,0.001068249,1,0.98783298,0.966629493,0.972237472,1,1,0.953828777,0.999282504,0.840327574,0.948717949,0.970253718,0.994183803,0.606694372,0.125126452,0.989130435,1,1,0.955773126,0.948528506,1,1,147,1
25,2.86E-05,0.000712166,1,0.986726887,0.9871036,0.976707709,1,1,0.957055922,0.998944858,0.926677862,0.948717949,0.964129484,0.993935719,0.809580811,0.111173126,0.989130435,1,1,0.949020932,0.948752393,1,1,230,0
26,0.000126149,0.000949555,1,0.985252097,0.960681708,0.976498575,1,1,0.956156931,0.999050372,0.932288641,0.948717949,0.958005249,0.993963284,0.838964676,0.124184603,0.989130435,1,1,0.945307225,0.946054561,1,1,199,1
27,0.000145191,0.001068249,1,0.987556457,0.981270195,0.967505817,1,1,0.955511502,0.999008167,0.917668781,0.948717949,0.976377953,0.993825459,0.811071461,0.121114871,0.97826087,1,1,0.958136394,0.951119992,1,1,156,1
28,5.24E-05,0.000118694,1,0.989860817,0.964570644,0.974067393,1,1,0.95613388,0.999050372,0.874835855,0.948717949,0.957130359,0.993963284,0.711649652,0.122928803,0.967391304,1,1,0.948683322,0.955239503,1,1,165,1
29,9.52E-05,0.000237389,1,0.989584293,0.959766664,0.986719996,1,1,0.955811166,0.999134784,0.839292962,0.948717949,0.968503937,0.994128673,0.61075978,0.134440297,0.967391304,1,1,0.945982444,0.950062128,1,1,163,1
30,0.000145191,0.001186944,1,0.983685132,0.974350176,1,1,1,0.95456641,0.999324709,0.845134539,0.948717949,0.968503937,0.994238933,0.603600145,0.12247532,0.967391304,1,1,0.944294396,0.957573519,1,1,194,1
31,0.000192794,0.000474777,1,0.985159923,0.962225844,0.958879042,1,1,0.954013185,0.999366915,0.839133791,0.948717949,0.981627297,0.994376757,0.600776945,0.107580144,0.97826087,1,1,0.95172181,0.948556492,1,1,234,0
32,0.000168992,0.000237389,1,0.983777307,0.978239112,0.983426137,1,1,0.955373196,0.99902927,0.876889161,0.948717949,1,0.993990848,0.68933508,0.125056685,0.967391304,1,1,0.946320054,0.953655506,1,1,191,1
33,0.000107108,0.000237389,1,0.989123422,0.978582254,0.979086608,1,1,0.954981329,0.999134784,0.84584285,0.948717949,0.978127734,0.994266498,0.625033878,0.117173056,0.97826087,1,1,0.950371371,0.946026575,1,1,200,1
34,0.000233257,0.001305638,1,0.989215596,0.956363844,0.980655112,1,1,0.955396247,0.999008167,0.934723958,0.948717949,0.982502187,0.993797894,0.857981751,0.112568459,0.97826087,1,1,0.948345712,0.946709429,1,1,195,1
35,0.000145191,0.000830861,1,0.988939073,0.963712791,0.973884401,1,1,0.954704716,0.999155887,0.883574345,0.948717949,0.960629921,0.994101108,0.713727527,0.117417239,0.967391304,1,1,0.95104659,0.947946402,1,1,181,1
36,0.000126149,0.000474777,1,0.983408609,0.981699122,0.976054166,1,1,0.955949472,0.999240298,0.846097524,0.948717949,0.976377953,0.994266498,0.618190442,0.123486936,0.967391304,1,1,0.949358542,0.946323225,1,1,158,1
37,0.000195174,0,1,0.988386026,0.972434303,0.959166601,1,1,0.954981329,0.999261401,0.836165251,0.948717949,0.988626422,0.994156238,0.600392989,0.131579865,0.967391304,1,1,0.948683322,0.955838399,1,1,170,1
38,9.76E-05,0.001068249,1,0.98930777,0.982556976,0.959924712,1,1,0.955880319,0.999198092,0.930107998,0.948717949,0.999125109,0.993853024,0.828846328,0.132103115,0.97826087,1,1,0.948008103,0.946854955,1,1,194,1
39,6.90E-05,0.000830861,1,0.986634713,0.974807698,0.965100776,1,1,0.953598267,0.999282504,0.834072152,0.948717949,0.977252843,0.994266498,0.57744602,0.117242823,0.956521739,1,1,0.953072248,0.948371786,1,1,128,1
40,0.000142811,0.000237389,1,0.988570375,0.996911727,0.977701095,1,1,0.954520308,0.999134784,0.918687476,0.948717949,0.956255468,0.994101108,0.794561388,0.124289252,0.97826087,1,1,0.948683322,0.952519282,1,1,188,1
41,8.09E-05,0.000474777,1,0.985252097,0.974007034,0.966669281,1,1,0.955557605,0.998987064,0.926996204,0.948717949,0.983377078,0.993880589,0.821189809,0.112045209,0.989130435,1,1,0.944632005,0.953722672,1,1,216,0
42,9.28E-05,0.000949555,1,0.983685132,0.955420205,0.963898256,1,1,0.954428104,0.999261401,0.858592451,0.948717949,0.951006124,0.994128673,0.639195049,0.117696306,0.956521739,1,1,0.95070898,0.946519125,1,1,196,1
43,0.000145191,0.000593472,1,0.989676468,0.961596752,0.96350613,1,1,0.953713522,0.999430223,0.833196712,0.948717949,0.956255468,0.994238933,0.592375102,0.109149894,0.97826087,1,1,0.95104659,0.946440765,1,1,207,0
44,0.000173753,0.000237389,1,0.98930777,0.987132195,0.99338614,1,1,0.956710156,0.999008167,0.868811231,0.948717949,0.958005249,0.994045978,0.686918421,0.121359054,0.967391304,1,1,0.949358542,0.943636588,1,1,192,1
45,0.000166612,0.000474777,1,0.98700341,0.958680049,0.990562832,1,1,0.955695911,0.999134784,0.881067401,0.948717949,0.979002625,0.994045978,0.698188635,0.1294171,0.967391304,1,1,0.943619176,0.948713213,1,1,158,1
46,0.000192794,0.000830861,1,0.993824316,0.970175288,0.980393695,1,1,0.953759624,0.999176989,0.838751781,0.948717949,0.97287839,0.994294063,0.603148433,0.113894024,0.97826087,1,1,0.949020932,0.947750501,1,1,256,0
47,0.000214216,0.000474777,1,0.985159923,0.970375454,0.978589915,1,1,0.955949472,0.999092578,0.890713166,0.948717949,0.978127734,0.994018413,0.734935405,0.120382321,0.956521739,1,1,0.952397029,0.954069696,1,1,214,0
48,7.85E-05,0,1,0.989952991,0.990106088,0.983530703,1,1,0.955834217,0.999746766,0.987218566,0.948717949,0.951881015,0.994928056,0.992162797,0.109394077,0.989130435,1,1,0.9513842,0.94785125,1,1,231,0
49,0.000199935,0,1,0.99161213,0.945211747,0.978433064,1,1,0.953690471,0.999198092,0.851652593,0.948717949,0.976377953,0.994238933,0.649177884,0.113684725,0.967391304,1,1,0.95172181,0.947756098,1,1,215,0
50,0.000230877,0.000712166,1,0.988201678,0.986274342,0.980106135,1,1,0.956779309,0.999071475,0.907935472,0.948717949,0.954505687,0.994101108,0.788779474,0.112149859,0.967391304,1,1,0.95070898,0.952877501,1,1,198,1
51,0.000171373,0.001068249,1,0.990782561,0.981699122,0.966172588,1,1,0.955718962,0.999831177,1,0.948717949,0.944006999,0.994900491,1,0.122754387,0.97826087,1,1,0.949358542,0.952161064,1,1,213,0
52,9.76E-05,0,1,0.986726887,0.968516771,0.986537004,1,1,0.957286432,0.99902927,0.900366889,0.948717949,0.969378828,0.993990848,0.747063872,0.117626539,0.97826087,1,1,0.948008103,0.947638558,1,1,213,0
53,0.00013567,0.000118694,1,0.991427781,0.99894198,0.952160615,1,1,0.957862708,0.998944858,0.934644372,0.948717949,0.969378828,0.993880589,0.858252778,0.118917222,0.967391304,1,1,0.946995273,0.949144194,1,1,195,1
54,0.000116629,0.000237389,1,0.987925154,0.967944869,0.978485348,1,1,0.955188788,0.998987064,0.929375811,0.948717949,0.966754156,0.993825459,0.83401843,0.12237067,0.956521739,1,1,0.946320054,0.949597564,1,1,257,0
55,0.000216596,0.000593472,1,0.989860817,0.977467044,0.9792696,1,1,0.956179982,0.998944858,0.966701419,0.948717949,0.970253718,0.993853024,0.918375644,0.12289392,0.97826087,1,1,0.952734639,0.95577683,1,1,193,1
56,0,0.000712166,1,0.990598212,0.964170313,0.96274802,1,1,0.955350145,0.998987064,0.92113871,0.948717949,0.967629046,0.993935719,0.827287921,0.120556738,0.967391304,1,1,0.945307225,0.950140489,1,1,275,0
57,0.00012853,0.000237389,1,0.991151258,0.952675074,0.976472434,1,1,0.954220645,0.999324709,0.834390494,0.948717949,0.976377953,0.994183803,0.581172644,0.130672899,0.945652174,1,1,0.944294396,0.949105014,1,1,137,1
58,7.14E-05,0.000830861,1,0.987464282,0.945011581,0.991451651,1,1,0.95500438,0.999240298,0.843375699,0.948717949,0.982502187,0.994321627,0.607100912,0.118707922,0.956521739,1,1,0.945982444,0.957153732,1,1,147,1
59,0.000185654,0.000118694,1,0.984883399,0.961568156,0.959166601,1,1,0.954059287,0.999240298,0.856029797,0.948717949,0.965879265,0.994073543,0.655795465,0.117487006,0.956521739,1,1,0.95104659,0.948243051,1,1,231,0
60,0.000126149,0.001068249,1,0.986266015,0.97766721,0.980655112,1,1,0.954819971,0.99902927,0.917931413,0.948717949,0.957130359,0.994018413,0.800682085,0.12331252,0.967391304,1,1,0.943956786,0.944224289,1,1,172,1
61,2.14E-05,0.000593472,1,0.984146004,0.976637786,0.959506444,1,1,0.954612512,0.999198092,0.836324422,0.948717949,0.973753281,0.994156238,0.583679646,0.118707922,0.97826087,1,1,0.947670493,0.945903438,1,1,185,1
62,7.62E-05,0.000356083,1,0.985067748,0.948814732,0.963453847,1,1,0.954543359,0.999240298,0.834804339,0.948717949,0.967629046,0.994266498,0.615051043,0.127498517,0.967391304,1,1,0.948008103,0.947034064,1,1,180,1
63,0.000121389,0.000237389,1,0.984514702,0.973892654,0.956160301,1,1,0.955949472,0.998987064,0.944624396,0.948717949,0.9720035,0.993853024,0.877427952,0.121324171,0.97826087,1,1,0.946657664,0.959269459,1,1,174,1
64,0.000185654,0.000474777,1,0.98866255,0.978467873,0.958905184,1,1,0.953413858,0.999008167,0.893904545,0.948717949,0.966754156,0.994018413,0.746747674,0.128056651,0.97826087,1,1,0.9513842,0.952625628,1,1,283,0
65,0.000188034,0.000474777,1,0.98930777,0.941237025,0.977361253,1,1,0.954773869,0.999240298,0.829400482,0.948717949,0.960629921,0.994349192,0.583905502,0.118952105,0.967391304,1,1,0.948683322,0.954422317,1,1,153,1
66,4.76E-05,0.001068249,1,0.98866255,0.984730205,0.968342352,1,1,0.955557605,0.999134784,0.862046462,0.948717949,0.970253718,0.994101108,0.670656789,0.125405519,0.967391304,1,1,0.949020932,0.954702175,1,1,202,0
67,0.000159472,0.000237389,1,0.985805143,0.962197249,0.956787703,1,1,0.955027431,0.999261401,0.864346484,0.948717949,0.978127734,0.993990848,0.666455868,0.135382147,0.97826087,1,1,0.9513842,0.954008127,1,1,313,0
68,5.00E-05,0.000118694,1,0.98866255,0.990249064,0.97040755,1,1,0.955419298,0.999071475,0.9314132,0.948717949,0.967629046,0.993797894,0.847818231,0.118917222,0.956521739,1,1,0.949696151,0.951769263,1,1,199,1
69,0.000154711,0.000593472,1,0.987464282,0.957564839,0.965466761,1,1,0.955603707,0.999303606,0.848469173,0.948717949,0.955380577,0.994321627,0.617287018,0.11647539,0.97826087,1,1,0.950371371,0.945578802,1,1,362,0
70,0.000171373,0.000593472,1,0.984146004,0.970718595,0.982537317,1,1,0.955811166,0.999008167,0.889797932,0.948717949,0.967629046,0.994101108,0.728995393,0.122963686,0.967391304,1,1,0.952734639,0.954623815,1,1,137,1
71,0.000166612,0.000830861,1,0.985805143,0.962654771,0.990379839,1,1,0.955373196,0.99902927,0.927688598,0.948717949,0.955380577,0.993935719,0.84494986,0.118952105,0.97826087,1,1,0.944632005,0.946614277,1,1,208,0
72,0.000154711,0.000237389,1,0.988939073,0.956306654,0.964316524,1,1,0.954082338,0.999324709,0.831660711,0.948717949,0.968503937,0.994404322,0.569857259,0.130184533,0.956521739,1,1,0.95172181,0.956028702,1,1,213,0
73,0.000104728,0.000830861,1,0.98552862,0.960424352,0.966930698,1,1,0.955765064,0.999240298,0.838449356,0.948717949,0.964129484,0.994376757,0.595175716,0.127219451,0.967391304,1,1,0.954422687,0.948237454,1,1,213,0
74,0.000164232,0.000949555,1,0.98322426,0.9753796,0.972943299,1,1,0.952837582,0.999282504,0.85018822,0.948717949,0.959755031,0.994101108,0.616383594,0.122859037,0.989130435,1,1,0.948345712,0.94627285,1,1,166,1
75,0.000145191,0.000712166,1,0.98700341,0.965113952,0.97806708,1,1,0.956733207,0.999303606,0.826097683,0.948717949,0.97287839,0.994238933,0.573267685,0.115463774,0.956521739,1,1,0.955435517,0.948707615,1,1,229,0
76,6.66E-05,0.000949555,1,0.986726887,0.95885162,0.97537448,1,1,0.954197593,0.999219195,0.850586147,0.948717949,0.974628171,0.994183803,0.633232451,0.120905571,0.967391304,1,1,0.953072248,0.950554679,1,1,210,0
77,0.000159472,0.000118694,1,0.985067748,0.968402391,0.953180143,1,1,0.956318289,0.999219195,0.864967251,0.948717949,0.960629921,0.994073543,0.672034511,0.11574284,1,1,1,0.945982444,0.947660946,1,1,154,1
78,0.000114248,0.000712166,1,0.982671214,0.953104,0.965597469,1,1,0.955718962,0.999155887,0.877072208,0.948717949,0.97287839,0.993990848,0.699792212,0.120940454,0.967391304,1,1,0.944632005,0.953851407,1,1,231,0
79,8.33E-05,0.000118694,1,0.985805143,0.958108147,0.988079366,1,1,0.9543359,0.999198092,0.881720002,0.948717949,0.971128609,0.993990848,0.709955732,0.121603237,0.97826087,1,1,0.949696151,0.952821529,1,1,199,1
80,0.000173753,0.000593472,1,0.98866255,0.981070029,0.947507385,1,1,0.955603707,0.999113681,0.941090799,0.948717949,0.958005249,0.993908154,0.855474749,0.120800921,0.97826087,1,1,0.948008103,0.948606867,1,1,185,1
81,7.62E-05,0.000237389,1,0.989860817,0.965714449,0.953258568,1,1,0.953759624,0.999240298,0.854079952,0.948717949,0.964129484,0.994018413,0.629347728,0.109359193,0.97826087,1,1,0.948683322,0.948416563,1,1,240,0
82,0.000107108,0.000949555,1,0.987279934,0.967573132,0.964028965,1,1,0.955649809,0.998987064,0.9769202,0.948717949,0.979877515,0.993853024,0.941683982,0.119824188,1,1,1,0.955097907,0.948433355,1,1,214,0
83,0.00013329,0,1,0.987648631,0.978811015,0.971636212,1,1,0.95590337,0.999176989,0.841935201,0.948717949,0.9720035,0.994266498,0.596982564,0.11637074,0.97826087,1,1,0.950371371,0.946384794,1,1,293,0
84,8.33E-05,0.000712166,1,0.986819062,0.980212176,0.970302983,1,1,0.953506062,0.999176989,0.868405345,0.948717949,0.968503937,0.994045978,0.674631855,0.124882269,0.967391304,1,1,0.952734639,0.952496894,1,1,267,0
85,0.000104728,0.000593472,1,0.986450364,0.97169083,0.98272031,1,1,0.954866073,0.999240298,0.845906519,0.948717949,0.968503937,0.994238933,0.616993405,0.111277776,0.967391304,1,1,0.956785955,0.945410888,1,1,188,1
86,0.00013329,0,1,0.981933819,0.963283864,0.958120932,1,1,0.955765064,0.999134784,0.867999459,0.948717949,0.967629046,0.994018413,0.679668443,0.109254544,0.989130435,1,1,0.953409858,0.946502334,1,1,278,0
87,0.000161852,0.000712166,1,0.984606876,0.956220869,0.978459206,1,1,0.954889125,0.999324709,0.84562797,0.948717949,0.963254593,0.994266498,0.610082212,0.114940524,0.97826087,1,1,0.956785955,0.950940883,1,1,178,1
88,9.28E-05,0.000949555,1,0.986542538,0.971004547,0.974982354,1,1,0.956087778,0.998923755,0.924560887,0.948717949,0.988626422,0.993935719,0.816582347,0.114417274,0.97826087,1,1,0.9513842,0.945841869,1,1,213,0
89,0.000280861,0.000356083,1,0.982210342,0.973149181,0.97341385,1,1,0.954405053,0.999008167,0.870458651,0.948717949,0.987751531,0.994018413,0.686240853,0.10984756,0.97826087,1,1,0.942606347,0.951836429,1,1,217,0
90,0.000114248,0.000356083,1,0.986081667,0.959366332,0.98047212,1,1,0.953805726,0.999324709,0.831079737,0.948717949,0.988626422,0.994349192,0.586999729,0.134300764,0.956521739,1,1,0.95104659,0.95086812,1,1,154,1
91,0.000176133,0.000474777,1,0.99013734,0.983500615,0.975949599,1,1,0.953621318,0.999219195,0.842961855,0.948717949,0.980752406,0.994128673,0.597343934,0.120033488,0.967391304,1,1,0.954085078,0.951847623,1,1,135,1
92,0.00013805,0.000118694,1,0.99013734,0.982985903,0.964891642,1,1,0.955119635,0.999134784,0.919594751,0.948717949,0.954505687,0.993825459,0.792076972,0.126138068,0.97826087,1,1,0.944969615,0.950823342,1,1,341,0
93,0.000249918,0.000949555,1,0.984699051,0.973177776,0.966407863,1,1,0.953759624,0.999092578,0.860200078,0.948717949,0.971128609,0.994128673,0.646038486,0.107894094,0.967391304,1,1,0.95104659,0.953398037,1,1,155,1
94,0.000209455,0.001068249,1,0.990413863,0.964799405,0.957545813,1,1,0.954958278,0.998965961,0.927473717,0.948717949,0.976377953,0.993935719,0.828846328,0.123766003,0.967391304,1,1,0.946320054,0.946026575,1,1,258,0
95,0.000183274,0.000949555,1,0.984514702,0.989019473,0.972498889,1,1,0.955442349,0.999092578,0.901210496,0.948717949,0.967629046,0.993963284,0.751242208,0.13468448,0.967391304,1,1,0.948683322,0.952625628,1,1,283,0
96,6.43E-05,0,1,0.987372108,0.960538732,0.975505189,1,1,0.953828777,0.999240298,0.865540266,0.948717949,0.968503937,0.994073543,0.661916162,0.112847525,0.97826087,1,1,0.948345712,0.948243051,1,1,336,0
97,0.000171373,0.000712166,1,0.98783298,0.993308742,0.963192429,1,1,0.955603707,0.998965961,0.970895576,0.948717949,0.948381452,0.993825459,0.932039931,0.12174277,0.97826087,1,1,0.945982444,0.953426022,1,1,202,0
98,0.000321324,0.000237389,1,0.980735552,0.973606703,0.975609756,1,1,0.955534554,0.999155887,0.851931143,0.948717949,0.979002625,0.994128673,0.61265697,0.122824153,0.967391304,1,1,0.947332883,0.953162956,1,1,156,1
99,9.28E-05,0.000118694,1,0.989123422,0.958308313,0.947899511,1,1,0.953506062,0.999261401,0.845620011,0.948717949,0.979002625,0.994073543,0.624649923,0.126905501,0.97826087,1,1,0.952734639,0.957607102,1,1,185,1
100,6.19E-05,0,1,0.988386026,0.963912956,0.975557473,1,1,0.953851828,0.999198092,0.854270957,0.948717949,0.971128609,0.994128673,0.646783811,0.113335891,0.967391304,1,1,0.948683322,0.949720702,1,1,200,1
101,0.999852429,0.999287834,0,0.127845884,0.29372909,0.237497713,0,0.001883239,0.00177493,0.625931163,0.254387152,0.230769231,0.496062992,0.99175809,0.486109856,0.452715666,0.27173913,0.627906977,1,0.006076975,0.008071106,1,0,149,1
102,0.999923834,0.998931751,0,0.124343257,0.301564153,0.229236923,0,0.002510986,0.003734268,0.627914829,0.295039435,0.230769231,0.484689414,0.994569712,0.585644593,0.437018174,0.293478261,0.627906977,1,0.009790682,0.00991817,1,0,269,0
103,0.999985719,0.997626113,0,0.130703291,0.2678791,0.224635976,0,0.002510986,0.002512563,0.626838584,0.271529872,0.230769231,0.503062117,0.993053641,0.522382329,0.459587679,0.282608696,0.627906977,1,0.006414585,0.014026486,1,0,206,0
104,0.000209455,0.001424332,1,0.986819062,0.979583083,0.965283769,1,1,0.9554654,0.999008167,0.924831478,0.948717949,0.975503062,0.993880589,0.82252236,0.139428611,0.97826087,1,1,0.952059419,0.945214987,1,1,235,0
105,0.999928595,0.998575668,0,0.128214582,0.29032627,0.229812041,0,0.002510986,0.003434604,0.629328719,0.325854947,0.230769231,0.487314086,0.99669221,0.678471407,0.437855374,0.282608696,0.627906977,1,0.015867657,0.017144105,1,0,154,1
106,0.999840528,0.99810089,0,0.130887639,0.296474221,0.227511568,0,0.001883239,0.00357291,0.626184397,0.255644603,0.230769231,0.500437445,0.992116434,0.485590388,0.448390135,0.293478261,0.627906977,1,0.009115463,0.008227827,1,0,175,1
107,0.999854809,0.997626113,0,0.128675454,0.29149867,0.227354717,0,0.002510986,0.003480706,0.630025112,0.341374124,0.256410256,0.485564304,0.997436463,0.724997741,0.420413716,0.293478261,0.627906977,1,0.010465901,0.012901456,1,0,174,1
108,0.59534152,0.736498516,0.238088774,0,0.029710331,0.00781638,0.29318394,0.210295041,0.086303075,0.001308376,0.030441461,0.025641026,0.018372703,0.001901979,0.070128286,0.997872118,0.02173913,0,0,0.129642134,0.136844992,0,0,151,1
109,0.238267518,0.29958457,0.597936745,0.637201585,0.722427154,0.714270776,0.617180205,0.616446955,0.589576322,0.853419714,0.617432412,0.846153846,0.7944007,0.994569712,0.569202277,0.194090766,0.717391304,0.854122622,1,0.61006077,0.609743538,1,1,199,1
110,0.000171373,0.000593472,1,0.991151258,0.961997083,0.956813845,1,1,0.954635563,0.999388018,0.837175987,0.948717949,0.974628171,0.994211368,0.609946698,0.113859141,0.97826087,1,1,0.950033761,0.951231935,1,1,184,1
111,0.999930975,0.997626113,0,0.131717209,0.303794573,0.223799441,0,0.002510986,0.004195288,0.629835187,0.330892711,0.256410256,0.501312336,0.997271073,0.71551179,0.423518331,0.293478261,0.627906977,1,0.013166779,0.012918248,1,0,271,0
112,0.238267518,0.297329377,0.597936745,0.640519864,0.728346344,0.700101953,0.617180205,0.616446955,0.591235996,0.853419714,0.63206023,0.846153846,0.800524934,0.994597277,0.634836029,0.194195416,0.717391304,0.854122622,1,0.611411209,0.609139045,1,1,249,0
113,0.833221068,0.997626113,0.060268766,0.18628445,0.330273655,0.228008261,0.14659197,0.145637163,0.130975981,0.650199422,0.282496757,0.230769231,0.487314086,0.993136336,0.462214292,0.439773956,0.336956522,0.651162791,1,0.148885888,0.154324926,1,0,227,0
114,0.99986195,0.997626113,0,0.1292285,0.308455577,0.228583379,0,0.002510986,0.002720022,0.625530209,0.245895377,0.230769231,0.488188976,0.991427311,0.462824103,0.451878467,0.304347826,0.627906977,1,0.004051317,0.00920733,1,0,193,1
115,0.000152331,0.001186944,1,0.987095585,0.976065883,0.965466761,1,1,0.955926421,0.999092578,0.897366515,0.948717949,0.950131234,0.993908154,0.746454061,0.117626539,0.956521739,1,1,0.945644835,0.947425866,1,1,209,0
