footfall,atemp,selfLR,ClinLR,DoleLR,PID,outpressure,inpressure,temp
168,2,5,4,6,5,22,4,1
169,2,5,4,6,5,22,4,1
170,2,5,4,6,5,22,4,1
171,2,5,4,6,5,22,4,1
172,2,5,4,6,5,22,4,1
173,2,5,4,6,5,22,4,1
174,2,5,4,6,5,22,4,1
175,2,5,4,6,5,22,4,1
176,2,5,4,6,5,22,4,1
177,2,5,4,6,5,22,4,1
178,2,5,4,6,5,22,4,1
179,2,5,4,6,5,22,4,1
180,2,5,4,6,5,22,4,1
181,2,5,4,6,5,22,4,1
182,2,5,4,6,5,22,4,1
183,2,5,4,6,5,22,4,1
184,2,5,4,6,5,22,4,1
185,2,5,4,6,5,22,4,1
186,2,5,4,6,5,22,4,1
187,2,5,4,6,5,22,4,1
188,2,5,4,6,5,22,4,1
189,2,5,4,6,5,22,4,1
190,2,5,4,6,5,22,4,1
