time,label,true_time,true_label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41
3,0,9,1,2994.05,2548.21,2195.1222,1046.1468,1.3204,100,103.34,0.1223,1.5144,-0.019,0.0013,0.9433,201.7125,11.8566,411.9572,636.9547,0.9906,58.5394,0.6004,0.9799,6.2058,15.75,3.148,15.73,15.71,0.946,3.027,0.5328,3.299,-0.5677,0.778,1.001,2.3715,993.1274,38.1448,89,170.8,146.2,53.0999,380.5909,0.1151
2,0,3,2,2928.84,2479.4,2196.2111,1605.7578,0.9959,100,97.9156,0.1257,1.469,0.017,-0.0154,0.9445,202.1264,9.1084,419.9018,725.8145,0.9899,59.5776,0.5985,0.9638,6.304,15.88,2.661,15.89,15.86,0.9082,2.78,0.4467,3.267,-0.5677,0.8038,0.9992,2.2764,997.4308,45.1318,123,112.8,150.5,51.7,250.3359,0.2773
129,1,129,1,2920.07,2507.4,2195.1222,1046.1468,1.3204,100,103.34,0.1223,1.531,-0.0259,0.0216,0.9595,202.1269,8.4828,415.5185,670.3646,0.9908,58.72,0.6065,0.9799,6.2999,15.83,2.575,15.89,15.84,0.8089,2.854,0.4162,3.383,-0.4731,0.7589,0.9966,2.3216,995.1991,36.9578,127,64.1,71.9,53.0999,380.5909,0.1151
0,0,1,2,3051.44,2529.27,2184.4333,877.6266,1.4668,100,107.8711,0.124,1.5236,-0.0209,-0.0031,0.9441,226.0086,9.7686,409.8885,756.9414,0.9908,59.5615,0.5832,0.9607,6.3399,15.77,3.038,15.81,15.8,0.8467,2.572,0.511,3.171,0,0.7661,0.9971,2.3262,998.4607,38.6257,90,102.5,80.2,52.8,203.071,0.1355
0,0,1,1,2963.97,2629.48,2224.6222,947.7739,1.2924,100,104.8489,0.1197,1.4474,0.0144,-0.0119,0.9582,195.3787,9.7561,422.3675,736.1852,0.9692,56.5635,0.5961,0.9638,6.4127,15.77,3.038,15.81,15.8,0.8467,2.572,0.511,3.171,0,0.7661,0.9971,2.3262,998.4607,38.6257,70,209.2,197.9,64.0999,295.563,0.1782
16,0,36,2,2988.31,2546.26,2224.6222,947.7739,1.2924,100,104.8489,0.1197,1.5465,0.025,-0.0024,0.9616,192.9787,12.4364,424.7536,762.8943,0.9716,57.1724,0.6006,0.9625,6.3944,15.85,3.263,15.85,15.82,0.8987,2.77,0.5158,3.207,-0.0473,0.7446,1,2.3243,1004.8054,39.4139,95,144.2,126,64.0999,295.563,0.1782
8,0,8,1,3028.02,2560.87,2270.2556,1258.4558,1.395,100,104.8078,0.1207,1.4368,0.015,-0.0037,0.9623,195.1742,12.1805,428.9826,729.7498,0.9905,59.1715,0.5954,0.9675,6.337,15.85,3.263,15.85,15.82,0.8987,2.77,0.5158,3.207,-0.0473,0.7446,1,2.3243,1004.8054,39.4139,85,189.6,102.3,48,180.004,0.6265
0,0,2,1,3032.73,2517.79,2270.2556,1258.4558,1.395,100,104.8078,0.1207,1.5537,0.022,-0.0027,0.9613,195.3425,10.0002,420.4726,769.1809,0.9911,58.6493,0.5985,0.97,6.2676,15.85,3.263,15.85,15.82,0.8987,2.77,0.5158,3.207,-0.0473,0.7446,1,2.3243,1004.8054,39.4139,99,188.2,158.7,48,180.004,0.6265
21,0,21,2,3040.34,2501.16,2207.3889,962.5317,1.2043,100,104.0311,0.121,1.5481,-0.0367,0.0014,0.9634,196.2746,8.4061,409.1399,790.0665,0.9904,59.4838,0.6005,0.9672,6.306,15.87,3.15,15.87,15.84,1.045,2.582,0.5323,3.555,-0.4258,0.7785,0.9997,2.3122,1006.4594,38.0592,92,63.7,28.9,74.7,416.4299,0.3067
1,0,2,1,2988.3,2519.05,2208.8556,1157.7224,1.5509,100,107.8022,0.1233,1.5362,-0.0259,-0.0179,0.9614,197.1793,13.3419,404.5667,768.1313,0.9904,59.1313,0.6047,0.9755,6.3534,15.87,3.15,15.87,15.84,1.045,2.582,0.5323,3.555,-0.4258,0.7785,0.9997,2.3122,1006.4594,38.0592,85,199.8,100.1,47.2,219.162,0.4712
9,0,28,2,2987.32,2528.81,0,0,0,0,0,0.1195,1.6343,-0.0263,0.0116,0.9587,200.8256,11.9224,414.306,852.5298,0.9904,58.8213,0.6063,0.9785,6.3013,15.87,3.15,15.87,15.84,1.045,2.582,0.5323,3.555,-0.4258,0.7785,0.9997,2.3122,1006.4594,38.0592,73,81,84.7,0,0,0
4,0,6,2,0,2481.85,2207.3889,962.5317,1.2043,100,104.0311,0.121,1.5559,0.0002,-0.0044,0.9617,196.6315,13.6262,410.695,804.2368,0.9906,58.6908,0.6039,0.9791,6.3145,15.87,3.15,15.87,15.84,1.045,2.582,0.5323,3.555,-0.4258,0.7785,0.9997,2.3122,1006.4594,38.0592,152,0,73.9,74.7,416.4299,0.3067
8,0,13,1,3002.27,2497.45,2207.3889,962.5317,1.2043,100,104.0311,0.121,1.5465,0.0195,-0.0114,0.9491,199.6394,15.4346,418.2477,700.0255,0.9903,58.9384,0.5931,0.9686,6.2861,15.86,3.361,15.91,15.88,1.087,2.631,0.4999,2.996,0.0473,0.7777,0.9967,2.3124,1006.8463,39.9863,92,55.5,58.7,74.7,416.4299,0.3067
2,1,2,1,2884.74,2514.54,2160.3667,899.9488,1.4022,100,105.4978,0.124,1.5585,-0.0317,-0.0138,0.9638,196.1842,11.6229,434.7942,762.9077,0.9643,56.8545,0.5865,0.9702,6.2733,15.96,3.034,16.04,16.03,0.9838,2.671,0.5088,3.192,-0.4731,0.8093,0.9949,2.2936,1010.834,38.9435,100,133.7,136.5,77.9001,205.346,0.1604
4,0,4,1,3010.41,2632.8,2203.9,1116.4129,1.2639,100,102.2733,0.1199,1.4227,0.0194,0.0073,0.9765,199.0177,4.704,406.7425,653.0773,0.9906,58.968,0.5954,0.9627,6.5034,15.73,1.877,15.73,15.7,0.7285,2.955,0.3395,3.765,0.0946,0.8743,0.9998,2.3326,996.2552,36.9453,151,135.4,136.6,67.4001,326.247,0.1161
33,2,33,2,2979.74,2446.56,2257.1667,1437.9565,1.4918,100,106.34,0.1203,1.5136,0.0018,0.0058,0.958,205.9919,10.6611,413.1526,771.7826,0.9906,59.1446,0.6096,0.9674,6.2968,15.98,3.421,16.04,16.01,0.9365,2.685,0.5212,2.945,-0.615,0.7839,0.9963,2.2931,1013.0161,36.1585,95,158.2,148.8,55.1001,339.527,0.6241
5,0,5,2,3067.35,2456.33,2257.1667,1437.9565,1.4918,100,106.34,0.1203,1.486,-0.0019,-0.0056,0.9587,206.4033,14.8136,419.0913,748.729,0.9907,58.7381,0.5981,0.9759,6.391,15.98,3.421,16.04,16.01,0.9365,2.685,0.5212,2.945,-0.615,0.7839,0.9963,2.2931,1013.0161,36.1585,70,197.4,179.4,55.1001,339.527,0.6241
4,2,4,2,2988.99,2607.63,2223.0333,1533.9934,1.3548,100,109.7067,0.1211,1.5582,-0.0101,0.0204,0.9572,199.6076,5.7692,405.8875,735.4067,0.9906,58.6421,0.5633,0.9687,6.242,15.98,3.759,15.99,16.05,0.9554,3.002,0.5765,3.356,-0.0473,0.6287,0.9992,2.2887,1009.9942,37.9782,159,141.1,117,66.8,339.561,0.7873
6,1,6,1,2972.78,2431.57,2190.4889,1059.439,0.8614,100,102.1178,0.1216,1.5438,0.0065,0.0032,0.9589,206.4436,11.3083,403.4278,761.5706,0.9904,58.0546,0.5999,0.9683,6.2931,15.98,3.421,16.04,16.01,0.9365,2.685,0.5212,2.945,-0.615,0.7839,0.9963,2.2931,1013.0161,36.1585,123,132.2,211.9,60.8,725.25,0.28
3,2,3,2,2981.85,2529.11,2180.3778,1208.7411,1.2998,100,100.2789,0.1209,1.42,-0.0016,0.0138,0.962,198.7199,6.8715,414.1525,746.772,0.9694,56.6047,0.6029,0.9597,6.5223,15.93,2.647,15.96,15.93,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,0.9982,2.3397,1011.7456,43.008,92,166.7,141.5,67,419.2061,0.2041
1,0,9,2,2975.88,2489.7,2191.6667,1153.9011,1.2569,100,100.6767,0.121,1.4481,-0.0134,0.0177,0.9515,199.6605,7.3997,422.9413,814.7503,0.9909,58.7904,0.5973,0.9764,6.3368,15.98,3.759,15.99,16.05,0.9554,3.002,0.5765,3.356,-0.0473,0.6287,0.9992,2.2887,1009.9942,37.9782,143,231,186.2,63.7002,360.905,0.1292
3,0,3,2,3058.61,2492.36,2180.3778,1208.7411,1.2998,100,100.2789,0.1209,1.5602,0.0041,-0.0056,0.9595,206.5154,11.3994,417.3887,627.1345,0.9644,55.9596,0.5993,0.9639,6.4628,15.98,3.421,16.04,16.01,0.9365,2.685,0.5212,2.945,-0.615,0.7839,0.9963,2.2931,1013.0161,36.1585,91,233.1,202.2,67,419.2061,0.2041
59,2,59,2,3047.19,2524.18,2197.3111,969.891,1.3015,100,105.3911,0.1201,1.5837,-0.0266,-0.0029,0.9581,199.4722,11.6646,414.2214,750.5962,0.991,58.4779,0.5964,0.9661,6.3528,15.89,2.322,15.85,15.87,0.3122,2.947,0.3924,3.569,0.0946,0.8884,1.002,2.3416,1010.4833,39.8902,69,84,52.1,73.5,225.7469,0.0896
68,0,116,2,2981.31,2566.35,2197.3111,969.891,1.3015,100,105.3911,0.1201,1.5047,-0.0216,0.0064,0.9721,199.2977,9.5945,417.114,782.6006,0.9908,58.4853,0.5992,0.9643,6.3039,15.89,2.322,15.85,15.87,0.3122,2.947,0.3924,3.569,0.0946,0.8884,1.002,2.3416,1010.4833,39.8902,95,218.8,167.8,73.5,225.7469,0.0896
46,1,46,1,2963.83,2457.64,2225.1777,1457.7934,1.2414,100,110.2789,0.1211,1.5374,-0.0177,0.017,0.9757,199.5802,7.203,419.3116,757.7612,0.9668,56.4963,0.6022,0.9762,6.4252,15.93,2.647,15.96,15.93,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,0.9982,2.3397,1011.7456,43.008,90,165.6,121.6,69.8999,470.032,0.2772
93,2,93,2,3040.72,2477.35,2191.6667,1153.9011,1.2569,100,100.6767,0.121,1.3475,-0.0152,0.0115,0.9517,200.1074,4.5248,400.7535,662.9427,0.9907,59.183,0.5954,0.969,6.282,15.89,2.322,15.85,15.87,0.3122,2.947,0.3924,3.569,0.0946,0.8884,1.002,2.3416,1010.4833,39.8902,88,118.8,137.6,63.7002,360.905,0.1292
6,1,6,1,2989.47,2445.44,2223.1667,1522.5535,1.1981,100,110.6333,0.121,1.5316,-0.0194,0.0088,0.9614,199.2808,7.4758,422.0675,716.5576,0.9652,57.3981,0.5991,0.9686,6.2857,15.93,2.647,15.96,15.93,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,0.9982,2.3397,1011.7456,43.008,123,142.2,116.4,67,257.7269,0.7017
4,1,4,1,2981.54,2302.46,2221.8445,1416.8211,1.1758,100,111.6278,0.121,1.44,-0.0163,0.0211,0.9651,199.6613,5.804,410.4105,767.7303,0.9908,58.3924,0.6018,0.9636,6.4674,15.93,2.647,15.96,15.93,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,0.9982,2.3397,1011.7456,43.008,83,247.3,229.6,67.3999,438.926,0.2834
1,0,5,2,2958.09,2542.24,2222.6778,1547.6125,1.4431,100,110.5644,0.1211,1.478,-0.0131,0.0079,0.9665,199.6664,5.4971,409.9835,656.7414,0.9903,59.4302,0.608,0.9763,6.2346,15.93,2.647,15.96,15.93,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,0.9982,2.3397,1011.7456,43.008,89,133.6,98.3,67.7998,277.494,0.6531
76,1,76,1,3017.21,2530.67,2169.4667,1185.4449,1.2412,100,100.8444,0.1221,1.5335,0.0098,-0.0013,0.9605,200.1657,5.2868,420.1729,785.4558,0.9908,58.3703,0.5931,0.9756,6.1781,15.98,3.207,16.01,15.96,1.483,3.148,0.545,3.335,-1.108,0.8142,0.998,2.3326,1013.5244,43.4014,144,154.5,128.7,60.7,307.865,0.1184
28,0,56,2,2962.14,2545.71,2221.5778,1503.623,1.1878,100,111.3444,0.1211,1.5424,-0.0177,0.014,0.9691,198.7302,6.4395,417.85,731.0955,0.9916,57.5651,0.596,0.9673,6.3296,15.93,2.647,15.96,15.93,0.6055,3.124,0.4429,3.491,-0.0473,0.8139,0.9982,2.3397,1011.7456,43.008,89,125.9,92.9,67.5999,531.4619,0.5138
31,1,31,1,3017.1,2517.18,2180.3778,1208.7411,1.2998,100,100.2789,0.1209,1.4652,-0.0008,0.0137,0.9534,200.0984,5.7909,403.6371,711.6416,0.9908,58.5939,0.604,0.9775,6.433,15.89,2.322,15.85,15.87,0.3122,2.947,0.3924,3.569,0.0946,0.8884,1.002,2.3416,1010.4833,39.8902,68,83.1,102.7,67,419.2061,0.2041
1,1,1,1,3021.26,2503.46,2180.3778,1208.7411,1.2998,100,100.2789,0.1209,1.5042,0.0082,0.0092,0.9542,199.8881,5.109,406.9902,673.8036,0.9907,58.8499,0.6008,0.9781,6.3685,15.89,2.322,15.85,15.87,0.3122,2.947,0.3924,3.569,0.0946,0.8884,1.002,2.3416,1010.4833,39.8902,127,81.6,53.5,67,419.2061,0.2041
0,2,0,2,3000.36,2748.67,2174.8666,1039.2291,1.0455,100,103.6,0.1221,1.5337,-0.0207,0.0067,0.9617,193.9873,5.5022,407.3229,764.948,0.9906,58.5387,0.5887,0.9642,6.3787,15.93,3.861,15.95,16.1,1.252,2.734,0.5619,2.949,-1.204,0.8034,0.9985,2.3006,999.2814,36.5715,125,221.6,184,59.5,533.891,0.4845
1,2,1,2,3047.78,2490.71,2166.5222,907.0746,1.0647,100,104.5211,0.1221,1.5764,-0.0219,-0.008,0.9611,202.1342,5.3695,414.0669,700.7723,0.9907,57.6728,0.5901,0.9597,6.401,15.82,3.2,15.9,15.83,1.125,2.622,0.5261,3.142,-0.4258,0.7692,0.995,2.3248,1001.9434,38.7769,94,118.5,99,53.3,508.087,0.4927
52,2,52,2,2912.87,2446.25,2166.5222,907.0746,1.0647,100,104.5211,0.1221,1.5336,-0.0283,0.005,0.9625,201.7858,5.1046,408.7597,767.6058,0.9907,57.3774,0.5972,0.9787,6.3215,15.82,3.2,15.9,15.83,1.125,2.622,0.5261,3.142,-0.4258,0.7692,0.995,2.3248,1001.9434,38.7769,88,100.4,146.9,53.3,508.087,0.4927
2,1,2,1,3076.38,2475.53,2166.5222,907.0746,1.0647,100,104.5211,0.1221,1.4919,-0.003,0.0034,0.9493,200.0401,13.9864,420.1404,656.7325,0.9907,57.648,0.6032,0.9768,6.3123,15.87,3.628,15.92,15.9,1.021,2.564,0.5835,3.016,0.0946,0.7484,0.9966,2.3179,1007.6964,41.5317,83,151.8,143.1,53.3,508.087,0.4927
8,2,8,2,3055.97,2788.4,2166.5222,907.0746,1.0647,100,104.5211,0.1221,1.5179,0.0114,0.011,0.948,199.9997,5.1376,421.5875,765.9619,0.9907,58.6257,0.5914,0.9651,6.384,15.87,3.628,15.92,15.9,1.021,2.564,0.5835,3.016,0.0946,0.7484,0.9966,2.3179,1007.6964,41.5317,125,219.2,172.4,53.3,508.087,0.4927
70,1,70,1,2993.59,2345.95,2169.4667,1185.4449,1.2412,100,100.8444,0.1221,1.5533,0.0173,0.0067,0.9606,199.3216,7.359,416.8137,759.8721,0.9909,58.0644,0.603,0.9658,6.2187,15.98,3.207,16.01,15.96,1.483,3.148,0.545,3.335,-1.108,0.8142,0.998,2.3326,1013.5244,43.4014,92,163.1,254,60.7,307.865,0.1184
1,0,16,2,2946.86,2533.91,2174.8666,1039.2291,1.0455,100,103.6,0.1221,1.5516,-0.0343,0.0065,0.9487,195.9192,4.7895,406.4293,792.1467,0.9908,58.3569,0.5896,0.9676,6.1904,15.82,3.2,15.9,15.83,1.125,2.622,0.5261,3.142,-0.4258,0.7692,0.995,2.3248,1001.9434,38.7769,120,109.3,129,59.5,533.891,0.4845
5,2,5,2,2942.31,2446.74,2172.9778,1222.6067,1.3658,100,101.84,0.122,1.5717,-0.0105,0.0052,0.962,201.4822,6.5073,418.8194,768.0063,0.9909,58.3318,0.5977,0.9687,6.2095,15.82,3.2,15.9,15.83,1.125,2.622,0.5261,3.142,-0.4258,0.7692,0.995,2.3248,1001.9434,38.7769,77,249.8,180.1,54.2,416.54,0.171
87,0,105,1,2993.14,2520.21,2180.6778,1230.6762,1.4095,100,103.3778,0.1205,1.5277,-0.0187,-0.0076,0.9453,200.4381,16.5926,426.847,718.8014,0.9906,59.0278,0.5981,0.9784,6.2876,15.82,3.434,15.85,15.82,0.9933,2.598,0.5598,3.008,-0.1419,0.7304,0.9976,2.3237,1004.0281,44.6843,83,155.5,149.1,57.8,159.0809,0.1266
4,0,35,1,2938.41,2466.78,2166.5222,907.0746,1.0647,100,104.5211,0.1221,1.471,0.0442,0.0146,0.9493,196.472,3.5131,397.7444,759.6985,0.9905,58.6601,0.6002,0.9786,6.4563,15.82,3.434,15.85,15.82,0.9933,2.598,0.5598,3.008,-0.1419,0.7304,0.9976,2.3237,1004.0281,44.6843,88,123.2,162,53.3,508.087,0.4927
3,2,3,2,3058.98,2484.31,2172.9778,1222.6067,1.3658,100,101.84,0.122,1.5321,-0.0008,0.0047,0.9527,200.0029,13.4387,422.3048,804.678,0.9909,58.6847,0.593,0.9677,6.2458,15.87,3.628,15.92,15.9,1.021,2.564,0.5835,3.016,0.0946,0.7484,0.9966,2.3179,1007.6964,41.5317,96,109.1,57.4,54.2,416.54,0.171
4,1,4,1,2950.46,2398.44,2180.6778,1230.6762,1.4095,100,103.3778,0.1205,1.6486,-0.0239,0.0031,0.9453,200.4054,5.3316,422.2173,755.8207,0.9904,59.2109,0.5876,0.9789,6.3542,15.87,3.628,15.92,15.9,1.021,2.564,0.5835,3.016,0.0946,0.7484,0.9966,2.3179,1007.6964,41.5317,92,122.2,187.7,57.8,159.0809,0.1266
5,0,9,2,3060.03,2809.79,2166.5222,907.0746,1.0647,100,104.5211,0.1221,1.5512,-0.0019,0.0033,0.9439,199.4196,4.9034,427.5748,741.3105,0.991,58.2421,0.5974,0.9623,6.3799,15.87,3.628,15.92,15.9,1.021,2.564,0.5835,3.016,0.0946,0.7484,0.9966,2.3179,1007.6964,41.5317,125,200.5,181.2,53.3,508.087,0.4927
14,2,14,2,2983.09,2569.81,2206.5112,1244.1552,1.2691,100,101.6667,0.1229,1.4873,0.0362,0.0029,0.9574,199.7442,3.3665,393.6668,755.125,0.9908,59.099,0.6166,0.9789,6.0763,15.78,3.584,15.84,15.81,1.021,2.559,0.5527,2.88,0.0473,0.7145,0.9966,2.3417,1004.407,37.5573,113,161.7,133.1,72.2,174.8,0.4694
34,1,34,1,2935.94,2586.05,2164.4111,1206.6031,0.9799,100,100.5189,0.122,1.4786,0.0049,0.0116,0.9613,198.6318,2.2493,396.9681,704.9014,0.9909,58.6473,0.595,0.9569,6.6157,15.82,3.434,15.85,15.82,0.9933,2.598,0.5598,3.008,-0.1419,0.7304,0.9976,2.3237,1004.0281,44.6843,93,175.8,136.7,54.7,727.5059,0.8565
5,0,13,1,3004.09,2388.74,2223.8,1503.1248,1.1705,100,110.06,0.1211,1.4441,-0.0177,0.0263,0.9569,200.0352,4.2144,404.6055,753.9392,0.9671,55.9712,0.6113,0.9762,6.417,15.78,3.564,15.7,15.71,1.05,2.529,0.577,2.965,-0.615,0.7382,1.005,2.3351,1004.4368,38.7724,95,165.8,160.8,68.0999,297.1899,0.3751
20,2,20,2,3020.76,2481.28,2197.3111,969.891,1.3015,100,105.3911,0.1201,1.5632,-0.0156,-0.001,0.9537,199.8442,5.2834,415.4686,734.0928,0.991,58.2597,0.5969,0.9759,6.2878,15.73,2.96,15.77,15.72,0.8467,2.855,0.5337,3.35,0.1892,0.8482,0.9975,2.4132,1008.3844,38.0318,70,151.2,131.1,73.5,225.7469,0.0896
4,2,4,2,3042.08,2694.31,2206.5112,1244.1552,1.2691,100,101.6667,0.1229,1.5928,0.0163,-0.0042,0.9667,191.1495,4.173,396.881,778.7802,0.9908,59.1555,0.5987,0.9788,6.3275,15.72,3.327,15.75,15.68,0.8703,2.837,0.6409,3.355,0,0.8485,0.9981,2.4153,1006.1533,42.2809,70,223.9,228.7,72.2,174.8,0.4694
1,0,1,2,3000.56,2541.92,2220.5445,1192.8757,1.3872,100,106.2567,0.1218,1.5644,0.0201,0.0044,0.9644,191.4789,10.2455,410.013,754.8984,0.9904,59.5812,0.6028,0.9796,6.1676,15.74,3.133,15.71,15.73,0.9034,2.83,0.5746,3.338,0.0473,0.8434,1.002,2.3903,1006.1589,38.6809,95,177.6,158.2,45.2002,218.533,0.5206
56,2,56,2,2990.22,2483.66,2206.5112,1244.1552,1.2691,100,101.6667,0.1229,1.4729,0.0206,0.003,0.9755,191.225,11.4142,408.2936,714.136,0.9909,58.1062,0.6046,0.9666,6.1819,15.74,3.133,15.71,15.73,0.9034,2.83,0.5746,3.338,0.0473,0.8434,1.002,2.3903,1006.1589,38.6809,146,182.7,157.4,72.2,174.8,0.4694
10,0,10,1,3016.64,2492.8,2246.4889,1006.9548,1.0997,100,103.3222,0.1184,1.5068,0.0126,-0.0023,0.9649,201.893,11.4445,425.767,773.7589,0.9678,57.3798,0.5948,0.9638,6.2902,15.71,3.478,15.78,15.76,0.9365,2.799,0.6002,3.153,0.3311,0.8088,0.9952,2.4035,1003.7344,35.437,119,183.3,198.1,107.6001,864.425,0.415
3,0,12,2,2980.84,2628.76,2187.5222,1268.6598,1.4503,100,102.4622,0.1233,1.4672,-0.0088,0.0071,0.9682,195.2619,14.1603,426.2799,760.5687,0.9625,55.5313,0.5995,0.9699,6.1034,15.81,3.566,15.84,15.78,1.21,2.642,0.5619,3.034,0,0.7332,0.9981,2.3348,1004.2077,41.9975,84,201.6,171.6,40.5,141.839,0.3901
0,2,0,2,2847.81,2461.38,2202.7111,1010.4454,1.0032,100,104.3067,0.1225,1.497,-0.0077,0.0068,0.9679,195.6413,9.973,409.5656,771.0169,0.967,57.4063,0.5999,0.9793,6.1214,15.82,3.448,15.88,15.83,0.9649,2.713,0.5668,3.08,0,0.7608,0.9963,2.3221,1001.7862,37.4028,77,212.4,130.6,56.4001,545.17,0.7511
53,0,61,1,0,2544.52,2202.7111,1010.4454,1.0032,100,104.3067,0.1225,1.4727,-0.0044,0.0136,0.9696,195.4928,15.9505,429.7235,735.9707,0.9906,57.8675,0.6077,0.9741,6.3363,15.82,3.448,15.88,15.83,0.9649,2.713,0.5668,3.08,0,0.7608,0.9963,2.3221,1001.7862,37.4028,90,0,153.9,56.4001,545.17,0.7511
13,0,26,2,2975.64,2508.28,2202.7111,1010.4454,1.0032,100,104.3067,0.1225,1.5079,-0.0086,0.007,0.9663,195.5961,17.1168,430.6053,737.6565,0.966,59.1295,0.6026,0.9584,6.6484,15.82,3.448,15.88,15.83,0.9649,2.713,0.5668,3.08,0,0.7608,0.9963,2.3221,1001.7862,37.4028,92,122.5,143.7,56.4001,545.17,0.7511
19,1,19,1,3066.19,2702.64,2246.4889,1006.9548,1.0997,100,103.3222,0.1184,1.444,0.0007,0.009,0.9671,194.4585,17.2065,428.5948,755.5991,0.9904,59.4921,0.602,0.9804,6.1643,15.82,3.448,15.88,15.83,0.9649,2.713,0.5668,3.08,0,0.7608,0.9963,2.3221,1001.7862,37.4028,126,169.5,150.9,107.6001,864.425,0.415
