,log,ada,rf,rsf,cox,WAFT,log,ada,rf,rsf,cox,WAFT,0,1
18,0.698671434,0.562689148,0.672514927,0.700731985,0.691085759,0.702024982,0.214258154,0.412474849,0.214219115,0.202378653,0.215047037,0.250884562,0.60801582,0.244136993
19,0.703470968,0.586110302,0.672709801,0.716271607,0.693633766,0.706010133,0.21136348,0.3722334,0.209216298,0.188438207,0.213481353,0.223250868,0.695961238,0.213281248
20,0.694244693,0.588099716,0.702886258,0.722533646,0.685380911,0.693507148,0.209632645,0.376257545,0.20190503,0.185954386,0.208788912,0.294945961,0.684531158,0.227122274
21,0.667762128,0.583718551,0.673275551,0.691063696,0.660159179,0.663031179,0.21621835,0.384305835,0.214547284,0.181751513,0.206803455,0.253967006,0.65949322,0.234248376
22,0.692583882,0.55988456,0.68088648,0.704793464,0.693366851,0.689527445,0.218115724,0.420523139,0.220597988,0.188878157,0.214030524,0.227323124,0.669708646,0.217387123
23,0.691865595,0.578650381,0.693096322,0.701555639,0.679377277,0.696358908,0.216010578,0.39637827,0.211497787,0.201248975,0.21410389,0.205347975,0.67391536,0.220905237
24,0.70252743,0.594612122,0.721743144,0.712832082,0.692951226,0.707435062,0.210308705,0.360160966,0.194895372,0.174317671,0.206943465,0.218153599,0.6916953,0.215373132
25,0.688052423,0.585562563,0.70778726,0.703617723,0.674899835,0.697383537,0.21418181,0.390342052,0.202771429,0.191094248,0.214654276,0.24234176,0.687964483,0.222185043
26,0.682710681,0.618220235,0.678196962,0.701065074,0.67417349,0.692081088,0.215070666,0.348088531,0.211496579,0.184053555,0.207758805,0.264539339,0.664115269,0.223561074
27,0.68034961,0.588711279,0.678205443,0.692099853,0.68343025,0.687874645,0.212071196,0.386317907,0.213465191,0.192196952,0.210339487,0.255556144,0.63957618,0.229841373
28,0.684814207,0.611524661,0.693717691,0.708158548,0.680849242,0.691662105,0.213766976,0.360160966,0.21119497,0.184056767,0.200725865,0.244199697,0.685169134,0.216668138
29,0.683555515,0.585989349,0.678230064,0.683446497,0.673799637,0.69165296,0.22568256,0.376257545,0.214781891,0.196598463,0.225199279,0.214074549,0.692190991,0.219346628
30,0.69019049,0.565840939,0.690975067,0.70388265,0.69196325,0.682183199,0.22176083,0.39637827,0.209225553,0.195118936,0.219089477,0.214464974,0.691206212,0.216436416
31,0.680979624,0.584617156,0.691197682,0.694915461,0.672367588,0.703633895,0.220961953,0.398390342,0.212456338,0.187561811,0.213011105,0.252838434,0.660347254,0.237791957
32,0.692026344,0.597636128,0.703057744,0.692576435,0.685334941,0.690662119,0.212196609,0.3722334,0.204547686,0.18728052,0.208645974,0.252221992,0.670903566,0.229889014
33,0.695849546,0.605590026,0.695837861,0.713552313,0.688682127,0.701411528,0.211652715,0.358148893,0.201737022,0.180486618,0.207538009,0.214515086,0.663198913,0.221610228
34,0.713477596,0.552875456,0.688521698,0.701740282,0.706989502,0.711725273,0.206317793,0.412474849,0.205822334,0.190585303,0.207103852,0.238227341,0.688196702,0.213606226
35,0.6635658,0.591085499,0.674279666,0.684356089,0.653732508,0.671268964,0.231301484,0.386317907,0.226211268,0.189720378,0.220474981,0.268676858,0.68821798,0.215095794
36,0.688058284,0.591007667,0.690731015,0.697896659,0.676168032,0.687378379,0.216518712,0.374245473,0.213449095,0.186910436,0.209737883,0.281972182,0.675127508,0.217140297
37,0.667460449,0.584909022,0.680786498,0.671419704,0.646596077,0.665441351,0.21865844,0.384305835,0.209171429,0.190509424,0.216054808,0.250986203,0.698314674,0.226973641
38,0.683833207,0.565948401,0.706464388,0.689230499,0.683239635,0.702282919,0.219865223,0.410462777,0.210841247,0.189946602,0.214913311,0.238072153,0.686450608,0.220258307
39,0.672681247,0.582564515,0.673059158,0.676942277,0.661091751,0.684102552,0.216892989,0.39637827,0.224469819,0.198811712,0.21647095,0.252856335,0.646273363,0.228862538
40,0.695791654,0.579704054,0.690766499,0.692264194,0.674269932,0.70407813,0.214374652,0.39637827,0.213060563,0.194183827,0.209700591,0.227169636,0.67241731,0.221391138
41,0.698813683,0.57178862,0.694575997,0.708959796,0.686843098,0.709821115,0.210823922,0.412474849,0.209443662,0.192843207,0.208891796,0.220712963,0.666208997,0.221414848
42,0.684019568,0.561673752,0.689849164,0.724234652,0.68354297,0.694315998,0.214774168,0.408450704,0.203665191,0.177370015,0.209393234,0.22828341,0.641669133,0.227017819
43,0.695460592,0.598193501,0.690216875,0.716097444,0.694996417,0.681445674,0.211224619,0.362173038,0.206040644,0.18496989,0.21051072,0.264466415,0.660730034,0.222129021
44,0.71205739,0.579997168,0.701556287,0.71530323,0.701834917,0.713614857,0.208837495,0.38832998,0.201558954,0.177270402,0.205834279,0.240898815,0.688973155,0.214020082
45,0.684383279,0.630998992,0.692149438,0.687986232,0.666509501,0.686622277,0.216110571,0.331991952,0.210018511,0.199958755,0.218399855,0.242642683,0.671013215,0.224570767
46,0.673311631,0.624084049,0.712672388,0.715707161,0.67458551,0.671062445,0.214786506,0.331991952,0.192151911,0.176298172,0.210159434,0.222262981,0.677360143,0.221195082
47,0.709428411,0.607055776,0.689904579,0.713386829,0.705798485,0.70287553,0.208592505,0.346076459,0.201031992,0.174627714,0.205459484,0.213372187,0.56114235,0.266934768
48,0.689448397,0.60647692,0.69804172,0.68667555,0.682482243,0.691309372,0.219140303,0.360160966,0.212945473,0.204007766,0.215997135,0.276191832,0.699020449,0.215163964
49,0.693955821,0.54762695,0.676408403,0.712090328,0.699526863,0.691485046,0.211021959,0.420523139,0.215615493,0.179742849,0.204975265,0.266966056,0.683796143,0.219048803
,0.651488064,0.54762695,0.653281686,0.671419704,0.646432725,0.66288078,0.206317793,0.331991952,0.190887525,0.170133351,0.200725865,0.20504643,0.56114235,0.21106202
,0.720364583,0.630998992,0.725324127,0.734123087,0.71495148,0.717094929,0.231301484,0.420523139,0.226211268,0.204706104,0.225199279,0.294945961,0.706807512,0.266934768
,0.691050337,0.589438473,0.689416516,0.701640102,0.682588146,0.693238917,0.214624688,0.380643863,0.209698946,0.189030247,0.212031411,0.238443451,0.670499578,0.224723145
,0.003873247,0.005125142,0.003716613,0.004071194,0.00433072,0.003868086,0.001416742,0.006411264,0.002043768,0.002418407,0.001553182,0.005930429,0.008171899,0.003025784
